#,PC Name,No,Type,State,Winning Candidate,Party,Electors,Votes,Turnout,Margin,Margin %,ACs
174,Faridkot,9,SC,Punjab,Paramjit Kaur Gulshan,Shiromani Akali Dal,"12,88,090","9,30,521",72.2 %,"62,042",6.7%,AC View
175,Farrukhabad,40,GEN,Uttar Pradesh [2000 Onwards],Salman Khursheed,Indian National Congress,"13,06,214","6,11,143",46.8 %,"27,199",4.5%,AC View
176,Fatehgarh Sahib,8,SC,Punjab,Sukhdev Singh,Indian National Congress,"12,07,556","8,38,150",69.4 %,"34,299",4.1%,AC View
177,Fatehpur,49,GEN,Uttar Pradesh [2000 Onwards],Rakesh Sachan,Samajwadi Party,"15,36,621","6,94,396",45.2 %,"52,228",7.5%,AC View
178,Fatehpur Sikri,19,GEN,Uttar Pradesh [2000 Onwards],Seema Upadhyay,Bahujan Samaj Party,"13,45,742","6,95,511",51.7 %,"9,936",1.4%,AC View
179,Ferozpur,10,GEN,Punjab,Sher Singh Ghubaya,Shiromani Akali Dal,"13,42,488","9,56,952",71.3 %,"21,071",2.2%,AC View
180,Firozabad,20,GEN,Uttar Pradesh [2000 Onwards],Akhilesh Yadav,Samajwadi Party,"14,22,243","6,84,881",48.2 %,"67,301",9.8%,AC View
181,Gadchiroli-Chimur,12,ST,Maharashtra,Kowase Marotrao Sainuji,Indian National Congress,"12,85,387","8,37,822",65.2 %,"28,580",3.4%,AC View
182,Gandhinagar,6,GEN,Gujarat,Lal Krishna Advani,Bharatiya Janta Party,"15,55,709","7,91,098",50.9 %,"1,21,747",15.4%,AC View
183,Ganganagar,1,SC,Rajasthan,Bharat Ram Meghwal,Indian National Congress,"14,91,983","9,10,531",61.0 %,"1,40,668",15.4%,AC View
184,Garhwal,2,GEN,Uttarakhand,Satpal Maharaj,Indian National Congress,"10,92,282","5,39,608",49.4 %,"17,397",3.2%,AC View
185,Gauhati,7,GEN,Assam,Bijoya Chakravarty,Bharatiya Janta Party,"17,23,860","11,09,000",64.3 %,"11,855",1.1%,AC View
186,Gautam Buddh Nagar,13,GEN,Uttar Pradesh [2000 Onwards],Surendra Singh Nagar,Bahujan Samaj Party,"15,22,397","7,38,929",48.5 %,"15,904",2.2%,AC View
187,Gaya,38,SC,Bihar [2000 Onwards],Hari Manjhi,Bharatiya Janta Party,"13,29,192","5,63,429",42.4 %,"62,453",11.1%,AC View
188,Ghatal,32,GEN,West Bengal,Gurudas Das Gupta,Communist Party Of India,"13,54,861","11,70,375",86.4 %,"1,47,184",12.6%,AC View
189,Ghaziabad,12,GEN,Uttar Pradesh [2000 Onwards],Rajnath Singh,Bharatiya Janta Party,"18,31,688","8,30,144",45.3 %,"90,681",10.9%,AC View
190,Ghazipur,75,GEN,Uttar Pradesh [2000 Onwards],Radhey Mohan Singh,Samajwadi Party,"15,27,723","7,70,622",50.4 %,"69,309",9.0%,AC View
191,Ghosi,70,GEN,Uttar Pradesh [2000 Onwards],Dara Singh Chauhan,Bahujan Samaj Party,"16,93,231","7,65,689",45.2 %,"60,945",8.0%,AC View
192,Giridih,6,GEN,Jharkhand,Ravindra Kumar Pandey,Bharatiya Janta Party,"13,46,527","6,19,311",46.0 %,"94,738",15.3%,AC View
193,Godda,3,GEN,Jharkhand,Nishikant Dubey,Bharatiya Janta Party,"14,12,253","7,97,695",56.5 %,"6,407",0.8%,AC View
194,Gonda,59,GEN,Uttar Pradesh [2000 Onwards],Beni Prasad Verma,Indian National Congress,"13,41,455","6,05,257",45.1 %,"23,675",3.9%,AC View
195,Gopalganj,17,SC,Bihar [2000 Onwards],Purnmasi Ram,Janata Dal (United),"13,49,072","5,04,611",37.4 %,"42,472",8.4%,AC View
196,Gorakhpur,64,GEN,Uttar Pradesh [2000 Onwards],Adityanath,Bharatiya Janta Party,"16,96,474","7,48,613",44.1 %,"2,20,271",29.4%,AC View
197,Gulbarga,5,SC,Karnataka,Mallikarjun Kharge,Indian National Congress,"15,43,771","7,59,481",49.2 %,"13,404",1.8%,AC View
198,Guna,4,GEN,Madhya Pradesh [2000 Onwards],Jyotiraditya Scindia,Indian National Congress,"12,02,772","6,50,328",54.1 %,"2,49,737",38.4%,AC View
199,Guntur,30,GEN,Andhra Pradesh,Rayapati Sambasiva Rao,Indian National Congress,"13,65,177","10,49,921",76.9 %,"39,355",3.7%,AC View
200,Gurdaspur,1,GEN,Punjab,Partap Singh Bajwa,Indian National Congress,"13,18,967","9,33,323",70.8 %,"8,342",0.9%,AC View
201,Gurgaon,9,GEN,Haryana,Inderjit Singh,Indian National Congress,"12,44,437","7,56,205",60.8 %,"84,864",11.2%,AC View
202,Gwalior,3,GEN,Madhya Pradesh [2000 Onwards],Yashodhara Raje Scindia,Bharatiya Janta Party,"14,20,728","5,84,165",41.1 %,"26,591",4.6%,AC View
203,Hajipur,21,SC,Bihar [2000 Onwards],Ram Sundar Das,Janata Dal (United),"13,27,075","5,55,110",41.8 %,"37,954",6.8%,AC View
204,Hamirpur,3,GEN,Himachal Pradesh,Anurag Singh Thakur,Bharatiya Janta Party,"11,87,377","6,99,687",58.9 %,"72,732",10.4%,AC View
205,Hamirpur,47,GEN,Uttar Pradesh [2000 Onwards],Vijay Bahadur Singh,Bahujan Samaj Party,"14,98,840","6,99,687",46.7 %,"25,502",3.6%,AC View
206,Hardoi,31,SC,Uttar Pradesh [2000 Onwards],Usha Verma,Samajwadi Party,"14,16,949","5,75,093",40.6 %,"92,935",16.2%,AC View
207,Hardwar,5,GEN,Uttarakhand,Harish Rawat,Indian National Congress,"12,94,280","7,88,217",60.9 %,"1,27,412",16.2%,AC View
208,Hassan,16,GEN,Karnataka,H D Devegowda,Janata Dal (Secular),"14,17,213","9,80,318",69.2 %,"2,91,113",29.7%,AC View
209,Hathras,16,SC,Uttar Pradesh [2000 Onwards],Sarika Singh,Rashtriya Lok Dal,"14,37,725","6,48,539",45.1 %,"36,852",5.7%,AC View
210,Hatkanangle,48,GEN,Maharashtra,Shetti Raju Alias Devappa Anna,Swabhimani Paksha,"14,58,560","9,78,507",67.1 %,"95,060",9.7%,AC View
211,Haveri,10,GEN,Karnataka,Udasi Shivkumar Chanabasappa,Bharatiya Janta Party,"13,71,763","8,72,262",63.6 %,"87,920",10.1%,AC View
212,Hazaribagh,14,GEN,Jharkhand,Yashwant Sinha,Bharatiya Janta Party,"13,01,651","6,90,936",53.1 %,"40,164",5.8%,AC View
213,Hindupur,37,GEN,Andhra Pradesh,Kristappa Nimmala,Telugu Desam,"13,77,610","10,28,974",74.7 %,"22,835",2.2%,AC View
214,Hingoli,15,GEN,Maharashtra,Subhash Bapurao Wankhede,Shiv Sena,"13,69,774","8,17,580",59.7 %,"73,634",9.0%,AC View
215,Hisar,4,GEN,Haryana,Bhajan Lal S/o Kheraj,Haryana Janhit Congress (BL),"11,94,689","8,28,704",69.4 %,"6,983",0.8%,AC View
216,Hooghly,28,GEN,West Bengal,Dr. Ratna De (Nag),All India Trinamool Congress,"14,05,684","11,63,978",82.8 %,"81,523",7.0%,AC View
217,Hoshangabad,17,GEN,Madhya Pradesh [2000 Onwards],Uday Pratap Singh,Indian National Congress,"12,97,404","7,12,284",54.9 %,"19,245",2.7%,AC View
218,Hoshiarpur,5,SC,Punjab,Santosh Chowdhary,Indian National Congress,"12,99,234","8,43,123",64.9 %,366,0.0%,AC View
219,Howrah,25,GEN,West Bengal,Ambica Banerjee,All India Trinamool Congress,"13,44,746","9,94,315",73.9 %,"37,392",3.8%,AC View
220,Hyderabad,9,GEN,Andhra Pradesh,Asaduddin Owaisi,All India Majlis-E-Ittehadul Muslimoon,"13,93,242","7,30,544",52.4 %,"1,13,865",15.6%,AC View
221,Idukki,13,GEN,Kerala,Adv. P.T Thomas,Indian National Congress,"10,62,849","7,87,236",74.1 %,"74,796",9.5%,AC View
222,Indore,26,GEN,Madhya Pradesh [2000 Onwards],Sumitra Mahajan (Tai),Bharatiya Janta Party,"15,70,094","7,97,171",50.8 %,"11,480",1.4%,AC View
223,Inner Manipur,1,GEN,Manipur,Dr. Thokchom Meinya,Indian National Congress,"8,26,755","5,83,323",70.6 %,"30,960",5.3%,AC View
224,Jabalpur,13,GEN,Madhya Pradesh [2000 Onwards],Rakesh Singh,Bharatiya Janta Party,"14,46,345","6,33,495",43.8 %,"1,06,003",16.7%,AC View
225,Jadavpur,22,GEN,West Bengal,Kabir Suman,All India Trinamool Congress,"13,31,537","10,85,301",81.5 %,"56,267",5.2%,AC View
226,Jagatsinghpur,16,SC,Orissa,Bibhu Prasad Tarai,Communist Party Of India,"14,55,406","9,82,922",67.5 %,"76,735",7.8%,AC View
227,Jahanabad,36,GEN,Bihar [2000 Onwards],Jagdish Sharma,Janata Dal (United),"12,76,912","5,99,175",46.9 %,"21,327",3.6%,AC View
228,Jaipur,7,GEN,Rajasthan,Mahesh Joshi,Indian National Congress,"16,84,541","8,12,957",48.3 %,"16,099",2.0%,AC View
229,Jaipur Rural,6,GEN,Rajasthan,Lal Chand Kataria,Indian National Congress,"14,44,949","6,87,165",47.6 %,"52,237",7.6%,AC View
230,Jajpur,8,SC,Orissa,Mohan Jena,Biju Janata Dal,"12,27,088","8,17,649",66.6 %,"1,27,747",15.6%,AC View
231,Jalandhar,4,SC,Punjab,Mohinder Singh Kaypee,Indian National Congress,"13,39,842","8,99,607",67.1 %,"36,445",4.1%,AC View
232,Jalaun,45,SC,Uttar Pradesh [2000 Onwards],Ghansyam Anuragi,Samajwadi Party,"16,84,988","7,97,588",47.3 %,"11,409",1.4%,AC View
233,Jalgaon,3,GEN,Maharashtra,A.T. Nana Patil,Bharatiya Janta Party,"15,49,391","6,56,612",42.4 %,"96,020",14.6%,AC View
234,Jalna,18,GEN,Maharashtra,Danve Raosaheb Dadarao Patil,Bharatiya Janta Party,"14,26,255","7,97,213",55.9 %,"8,482",1.1%,AC View
235,Jalore,18,GEN,Rajasthan,Devji Patel,Bharatiya Janta Party,"15,20,957","5,77,810",38.0 %,"49,805",8.6%,AC View
236,Jalpaiguri,3,SC,West Bengal,Mahendra Kumar Roy,Communist Party Of India (MARXIST),"12,52,142","10,32,242",82.4 %,"88,371",8.6%,AC View
237,Jammu,6,GEN,Jammu & Kashmir,Madan Lal Sharma,Indian National Congress,"17,19,897","8,42,899",49.0 %,"1,21,373",14.4%,AC View
238,Jamnagar,12,GEN,Gujarat,Ahir Vikrambhai Arjanbhai Madam,Indian National Congress,"12,98,599","5,94,603",45.8 %,"26,418",4.4%,AC View
239,Jamshedpur,9,GEN,Jharkhand,Arjun Munda,Bharatiya Janta Party,"13,80,279","7,05,570",51.1 %,"1,19,663",17.0%,AC View
240,Jamui,40,SC,Bihar [2000 Onwards],Bhudeo Choudhary,Janata Dal (United),"14,04,016","5,35,288",38.1 %,"29,797",5.6%,AC View
241,Jangipur,9,GEN,West Bengal,Pranab Mukherjee,Indian National Congress,"10,87,054","9,34,813",86.0 %,"1,28,149",13.7%,AC View
242,Janjgir-Champa,3,SC,Chhattisgarh,Shrimati Kamla Devi Patle,Bharatiya Janta Party,"15,18,450","7,37,608",48.6 %,"87,211",11.8%,AC View
243,Jaunpur,73,GEN,Uttar Pradesh [2000 Onwards],Dhananjay Singh,Bahujan Samaj Party,"16,62,127","7,63,987",46.0 %,"80,351",10.5%,AC View
244,Jhalawar-Baran,25,GEN,Rajasthan,Dushyant Singh,Bharatiya Janta Party,"14,47,157","8,72,015",60.3 %,"52,841",6.1%,AC View
245,Jhanjharpur,7,GEN,Bihar [2000 Onwards],Mangani Lal Mandal,Janata Dal (United),"14,18,977","6,07,835",42.8 %,"72,709",12.0%,AC View
246,Jhansi,46,GEN,Uttar Pradesh [2000 Onwards],Pradeep Kumar Jain (Aditya),Indian National Congress,"15,62,082","8,61,858",55.2 %,"47,670",5.5%,AC View
247,Jhargram,33,ST,West Bengal,Pulin Bihari Baske,Communist Party Of India (MARXIST),"12,41,574","9,58,825",77.2 %,"2,92,345",30.5%,AC View
248,Jhunjhunu,4,GEN,Rajasthan,Sheesh Ram Ola,Indian National Congress,"14,32,581","6,03,278",42.1 %,"65,332",10.8%,AC View
249,Jodhpur,16,GEN,Rajasthan,Chandresh Kumari,Indian National Congress,"15,06,821","6,84,623",45.4 %,"98,329",14.4%,AC View
250,Jorhat,12,GEN,Assam,Bijoy Krishna Handique,Indian National Congress,"11,82,349","7,65,059",64.7 %,"71,914",9.4%,AC View
251,Joynagar,19,SC,West Bengal,Dr. Tarun Mondal,Independent,"11,43,640","9,15,801",80.1 %,"53,705",5.9%,AC View
252,Junagadh,13,GEN,Gujarat,Solanki Dinubhai Boghabhai,Bharatiya Janta Party,"13,13,064","7,60,085",57.9 %,"13,759",1.8%,AC View
253,Kachchh,1,SC,Gujarat,Jat Poonamben Veljibhai,Bharatiya Janta Party,"13,25,614","5,64,099",42.6 %,"71,343",12.6%,AC View
254,Kadapa,38,GEN,Andhra Pradesh,Y.S. Jagan Mohan Reddy,Indian National Congress,"13,47,716","10,31,800",76.6 %,"1,78,846",17.3%,AC View
255,Kairana,2,GEN,Uttar Pradesh [2000 Onwards],Tabassum Begum,Bahujan Samaj Party,"12,82,551","7,25,359",56.6 %,"22,463",3.1%,AC View
256,Kaiserganj,57,GEN,Uttar Pradesh [2000 Onwards],Brijbhushan Sharan Singh,Samajwadi Party,"13,76,267","5,65,673",41.1 %,"72,199",12.8%,AC View
257,Kakinada,23,GEN,Andhra Pradesh,M.M.Pallamraju,Indian National Congress,"12,65,094","9,67,545",76.5 %,"34,044",3.5%,AC View
258,Kalahandi,11,GEN,Orissa,Bhakta Charan Das,Indian National Congress,"14,21,959","9,80,310",68.9 %,"1,54,037",15.7%,AC View
259,Kaliabor,11,GEN,Assam,Dip Gogoi,Indian National Congress,"13,48,371","9,61,183",71.3 %,"1,51,989",15.8%,AC View
260,Kallakurichi,14,GEN,Tamil Nadu,Sankar Adhi,Dravida Munetra Kazhagam,"11,06,352","8,57,618",77.5 %,"3,57,571",41.7%,AC View
261,Kalyan,24,GEN,Maharashtra,Anand Prakash Paranjape,Shiv Sena,"15,88,507","5,44,851",34.3 %,"24,202",4.4%,AC View
262,Kancheepuram,6,SC,Tamil Nadu,Viswanathan.P,Indian National Congress,"10,60,188","7,87,177",74.3 %,"13,103",1.7%,AC View
263,Kandhamal,13,GEN,Orissa,Rudramadhab Ray,Biju Janata Dal,"10,65,279","7,08,100",66.5 %,"1,51,007",21.3%,AC View
264,Kangra,1,GEN,Himachal Pradesh,Dr. Rajan Sushant,Bharatiya Janta Party,"12,00,165","6,62,248",55.2 %,"20,779",3.1%,AC View
265,Kanker,11,ST,Chhattisgarh,Sohan Potai,Bharatiya Janta Party,"12,96,734","7,42,076",57.2 %,"19,288",2.6%,AC View
266,Kannauj,42,GEN,Uttar Pradesh [2000 Onwards],Akhilesh Yadav,Samajwadi Party,"15,04,276","7,41,965",49.3 %,"1,15,864",15.6%,AC View
267,Kanniyakumari,39,GEN,Tamil Nadu,Helen Davidson J,Dravida Munetra Kazhagam,"11,78,047","7,66,034",65.0 %,"65,687",8.6%,AC View
268,Kannur,2,GEN,Kerala,K. Sudhakaran,Indian National Congress,"10,69,725","8,67,040",81.1 %,"43,151",5.0%,AC View
269,Kanpur,43,GEN,Uttar Pradesh [2000 Onwards],Sri Prakash Jaiswal,Indian National Congress,"13,90,055","5,12,917",36.9 %,"18,906",3.7%,AC View
270,Kanthi,31,GEN,West Bengal,Adhikari Sisir Kumar,All India Trinamool Congress,"12,49,775","11,24,817",90.0 %,"1,29,103",11.5%,AC View
271,Karakat,35,GEN,Bihar [2000 Onwards],Mahabali Singh,Janata Dal (United),"13,86,634","5,77,454",41.6 %,"20,483",3.5%,AC View
272,Karauli-Dholpur,10,SC,Rajasthan,Khiladi Lal Bairwa,Indian National Congress,"13,03,196","4,87,218",37.4 %,"29,723",6.1%,AC View
273,Karimganj,1,SC,Assam,Lalit Mohan Suklabaidya,Indian National Congress,"10,68,811","6,85,740",64.2 %,"7,920",1.2%,AC View
274,Karimnagar,3,GEN,Andhra Pradesh,Ponnam Prabhakar,Indian National Congress,"14,96,211","9,91,417",66.3 %,"50,243",5.1%,AC View
275,Karnal,5,GEN,Haryana,Arvind Kumar Sharma,Indian National Congress,"12,16,977","8,11,067",66.7 %,"76,346",9.4%,AC View
276,Karur,23,GEN,Tamil Nadu,Thambidurai.M,All India Anna Dravida Munnetra Kazhagam,"10,12,924","8,25,860",81.5 %,"47,254",5.7%,AC View
277,Kasaragod,1,GEN,Kerala,P Karunakaran,Communist Party Of India (MARXIST),"11,13,892","8,48,205",76.2 %,"64,427",7.6%,AC View
278,Katihar,11,GEN,Bihar [2000 Onwards],Nikhil Kumar Choudhary,Bharatiya Janta Party,"12,72,769","7,24,942",57.0 %,"14,015",1.9%,AC View
279,Kaushambi,50,SC,Uttar Pradesh [2000 Onwards],Shailendra Kumar,Samajwadi Party,"13,91,312","5,51,342",39.6 %,"55,789",10.1%,AC View
280,Kendrapara,15,GEN,Orissa,Baijayant Panda,Biju Janata Dal,"14,34,425","9,82,950",68.5 %,"1,27,107",12.9%,AC View
281,Keonjhar,4,ST,Orissa,Yashbant Narayan Singh Laguri,Biju Janata Dal,"12,65,225","8,92,274",70.5 %,"1,26,484",14.2%,AC View
282,Khadoor Sahib,3,GEN,Punjab,Dr. Rattan Singh Ajnala,Shiromani Akali Dal,"13,40,145","9,46,690",70.6 %,"32,260",3.4%,AC View
283,Khagaria,25,GEN,Bihar [2000 Onwards],Dinesh Chandra Yadav,Janata Dal (United),"13,42,970","6,24,966",46.5 %,"1,38,755",22.2%,AC View
284,Khajuraho,8,GEN,Madhya Pradesh [2000 Onwards],Jeetendra Singh Bundela,Bharatiya Janta Party,"13,49,511","5,83,085",43.2 %,"28,332",4.9%,AC View
285,Khammam,17,GEN,Andhra Pradesh,Nama Nageswara Rao,Telugu Desam,"12,59,815","10,38,421",82.4 %,"1,24,448",12.0%,AC View
286,Khandwa,28,GEN,Madhya Pradesh [2000 Onwards],Arun Subhashchandra Yadav,Indian National Congress,"13,55,325","8,13,214",60.0 %,"49,081",6.0%,AC View
287,Khargone,27,ST,Madhya Pradesh [2000 Onwards],Makansingh Solanki (Babuji),Bharatiya Janta Party,"12,63,778","7,60,779",60.2 %,"34,175",4.5%,AC View
288,Kheda,17,GEN,Gujarat,Dinsha Patel,Indian National Congress,"14,48,571","6,02,867",41.6 %,846,0.1%,AC View
289,Kheri,28,GEN,Uttar Pradesh [2000 Onwards],Zafar Ali Naqvi,Indian National Congress,"12,97,088","7,07,983",54.6 %,"8,777",1.2%,AC View
290,Khunti,11,ST,Jharkhand,Karia Munda,Bharatiya Janta Party,"9,80,868","5,10,352",52.0 %,"80,175",15.7%,AC View
291,Kishanganj,10,GEN,Bihar [2000 Onwards],Mohammad Asrarul Haque,Indian National Congress,"11,86,369","6,26,914",52.8 %,"80,269",12.8%,AC View
292,Kodarma,5,GEN,Jharkhand,Babulal Marandi,Jharkhand Vikas Morcha (Prajatantrik),"13,90,428","7,80,555",56.1 %,"48,520",6.2%,AC View
293,Kokrajhar,5,ST,Assam,Sansuma Khunggur Bwiswmuthiary,Bodaland Peoples Front,"13,77,837","10,15,053",73.7 %,"1,90,322",18.7%,AC View
294,Kolar,28,SC,Karnataka,K.H.Muniyappa,Indian National Congress,"13,40,923","9,28,350",69.2 %,"23,006",2.5%,AC View
295,Kolhapur,47,GEN,Maharashtra,Sadashivrao Dadoba Mandlik,Independent,"15,83,030","10,29,203",65.0 %,"44,800",4.4%,AC View
296,Kolkata Dakshin,23,GEN,West Bengal,Mamata Banerjee,All India Trinamool Congress,"15,05,638","10,08,329",67.0 %,"2,19,571",21.8%,AC View
297,Kolkata Uttar,24,GEN,West Bengal,Sudip Bandyopadhyay,All India Trinamool Congress,"13,66,647","8,78,866",64.3 %,"1,09,278",12.4%,AC View
298,Kollam,18,GEN,Kerala,N.Peethambarakurup,Indian National Congress,"11,08,686","7,54,928",68.1 %,"17,531",2.3%,AC View
299,Koppal,8,GEN,Karnataka,Shivaramagouda Shivanagouda,Bharatiya Janta Party,"13,63,431","7,54,803",55.4 %,"81,789",10.8%,AC View
300,Koraput,21,ST,Orissa,Jayaram Pangi,Biju Janata Dal,"12,17,768","7,59,610",62.4 %,"96,360",12.7%,AC View
301,Korba,4,GEN,Chhattisgarh,Charan Das Mahant,Indian National Congress,"12,76,443","7,45,617",58.4 %,"20,737",2.8%,AC View
302,Kota,24,GEN,Rajasthan,Ijyaraj Singh,Indian National Congress,"14,98,971","6,82,181",45.5 %,"83,093",12.2%,AC View
303,Kottayam,14,GEN,Kerala,Jose K.Mani (Karingozheckal),Kerala Congress(M),"10,95,242","8,09,844",73.9 %,"71,570",8.8%,AC View
304,Kozhikode,5,GEN,Kerala,M.K. Raghavan,Indian National Congress,"10,53,817","7,99,996",75.9 %,838,0.1%,AC View
305,Krishnagiri,9,GEN,Tamil Nadu,Sugavanam. E.G.,Dravida Munetra Kazhagam,"10,14,758","7,52,583",74.2 %,"76,598",10.2%,AC View
306,Krishnanagar,12,GEN,West Bengal,Tapas Paul,All India Trinamool Congress,"12,23,082","10,47,125",85.6 %,"77,386",7.4%,AC View
307,Kurnool,35,GEN,Andhra Pradesh,Kotla Jaya Surya Prakash Reddy,Indian National Congress,"13,07,312","8,73,551",66.8 %,"73,773",8.4%,AC View
308,Kurukshetra,2,GEN,Haryana,Naveen Jindal,Indian National Congress,"11,66,684","8,75,415",75.0 %,"1,18,729",13.6%,AC View
309,Kushi Nagar,65,GEN,Uttar Pradesh [2000 Onwards],Ku. Ratanjeet Pratap Narayan Singh,Indian National Congress,"14,38,263","7,31,041",50.8 %,"21,094",2.9%,AC View
310,Ladakh,4,GEN,Jammu & Kashmir,Hassan Khan,Independent,"1,52,491","1,11,013",72.8 %,"3,684",3.3%,AC View
311,Lakhimpur,14,GEN,Assam,Ranee Narah,Indian National Congress,"13,32,518","9,09,812",68.3 %,"44,572",4.9%,AC View
312,Lakshadweep,1,ST,Lakshadweep,Hamdullah Sayeed,Indian National Congress,"45,983","39,498",85.9 %,"2,198",5.6%,AC View
313,Lalganj,68,SC,Uttar Pradesh [2000 Onwards],Dr. Baliram,Bahujan Samaj Party,"15,09,536","6,59,042",43.7 %,"39,948",6.1%,AC View
314,Latur,41,SC,Maharashtra,Awale Jaywant Gangaram,Indian National Congress,"15,09,987","8,29,585",54.9 %,"7,975",1.0%,AC View
315,Lohardaga,12,ST,Jharkhand,Sudarshan Bhagat,Bharatiya Janta Party,"9,81,666","5,22,402",53.2 %,"8,283",1.6%,AC View
316,Lucknow,35,GEN,Uttar Pradesh [2000 Onwards],Lal Ji Tandon,Bharatiya Janta Party,"16,53,123","5,87,772",35.6 %,"40,901",7.0%,AC View
317,Ludhiana,7,GEN,Punjab,Manish Tewari,Indian National Congress,"13,09,308","8,46,277",64.6 %,"1,13,706",13.4%,AC View
318,Machhlishahr,74,SC,Uttar Pradesh [2000 Onwards],Tufani Saroj,Samajwadi Party,"17,51,074","7,17,824",41.0 %,"24,306",3.4%,AC View
319,Machilipatnam,28,GEN,Andhra Pradesh,Konakalla Narayana Rao,Telugu Desam,"12,51,053","10,52,352",84.1 %,"12,456",1.2%,AC View
320,Madha,43,GEN,Maharashtra,Pawar Sharadchandra Govindrao,Nationalist Congress Party,"15,58,442","9,19,449",59.0 %,"3,14,459",34.2%,AC View
321,Madhepura,13,GEN,Bihar [2000 Onwards],Sharad Yadav,Janata Dal (United),"15,08,361","7,56,468",50.2 %,"1,77,621",23.5%,AC View
322,Madhubani,6,GEN,Bihar [2000 Onwards],Hukmadeo Narayan Yadav,Bharatiya Janta Party,"13,97,256","5,56,572",39.8 %,"9,927",1.8%,AC View
323,Madurai,32,GEN,Tamil Nadu,Alagiri M.K,Dravida Munetra Kazhagam,"10,22,421","7,92,011",77.5 %,"1,40,985",17.8%,AC View
324,Mahabubabad,16,ST,Andhra Pradesh,P. Balram,Indian National Congress,"12,65,396","9,96,860",78.8 %,"68,957",6.9%,AC View
325,Maharajganj,19,GEN,Bihar [2000 Onwards],Uma Shanaker Singh,Rashtriya Janata Dal,"13,12,219","5,99,531",45.7 %,"2,797",0.5%,AC View
326,Maharajganj,63,GEN,Uttar Pradesh [2000 Onwards],Harsh Vardhan,Indian National Congress,"15,09,167","5,99,531",39.7 %,"1,23,628",20.6%,AC View
327,Mahasamund,9,GEN,Chhattisgarh,Chandulal Sahu (Chandu Bhaiya),Bharatiya Janta Party,"13,69,154","7,76,337",56.7 %,"51,475",6.6%,AC View
328,Mahbubnagar,11,GEN,Andhra Pradesh,K. Chandrasekhar Rao,Telangana Rashtra Samithi,"13,68,868","9,27,588",67.8 %,"20,184",2.2%,AC View
329,Mahesana,4,GEN,Gujarat,Patel Jayshreeben Kanubhai,Bharatiya Janta Party,"13,93,970","6,92,685",49.7 %,"21,865",3.2%,AC View
330,Mainpuri,21,GEN,Uttar Pradesh [2000 Onwards],Mulayam Singh Yadav,Samajwadi Party,"13,99,259","6,96,701",49.8 %,"1,73,069",24.8%,AC View
331,Malappuram,6,GEN,Kerala,E. Ahamed,Muslim League Kerala State Committee,"10,19,713","7,84,713",77.0 %,"1,15,597",14.7%,AC View
332,Maldaha Dakshin,8,GEN,West Bengal,Abu Hasem Khan Choudhury,Indian National Congress,"10,52,093","8,31,309",79.0 %,"1,36,280",16.4%,AC View
333,Maldaha Uttar,7,GEN,West Bengal,Mausam Noor,Indian National Congress,"11,01,096","9,22,537",83.8 %,"60,141",6.5%,AC View
334,Malkajgiri,7,GEN,Andhra Pradesh,Sarvey Sathyanarayana,Indian National Congress,"23,43,050","12,05,858",51.5 %,"93,326",7.7%,AC View
335,Mandi,2,GEN,Himachal Pradesh,Virbhadra Singh,Indian National Congress,"11,12,524","7,13,687",64.2 %,"13,997",2.0%,AC View
336,Mandla,14,ST,Madhya Pradesh [2000 Onwards],Basori Singh Masram,Indian National Congress,"15,28,061","8,60,093",56.3 %,"65,053",7.6%,AC View
337,Mandsour,23,GEN,Madhya Pradesh [2000 Onwards],Meenakshi Natrajan,Indian National Congress,"13,71,067","7,65,754",55.9 %,"30,819",4.0%,AC View
338,Mandya,20,GEN,Karnataka,N Cheluvaraya Swamy @ Swamygowda,Janata Dal (Secular),"14,99,744","10,31,797",68.8 %,"23,500",2.3%,AC View
339,Mangaldoi,8,GEN,Assam,Ramen Deka,Bharatiya Janta Party,"14,16,682","9,88,448",69.8 %,"55,849",5.7%,AC View
340,Mathura,17,GEN,Uttar Pradesh [2000 Onwards],Jayant Chaudhary,Rashtriya Lok Dal,"13,41,649","7,26,769",54.2 %,"1,69,613",23.3%,AC View
341,Mathurapur,20,SC,West Bengal,Choudhury Mohan Jatua,All India Trinamool Congress,"12,27,376","10,49,016",85.5 %,"1,29,963",12.4%,AC View
342,Maval,33,GEN,Maharashtra,Babar Gajanan Dharmshi,Shiv Sena,"16,04,886","7,18,520",44.8 %,"80,619",11.2%,AC View
343,Mavelikkara,16,SC,Kerala,Kodikkunnil Suresh,Indian National Congress,"11,42,993","8,06,273",70.5 %,"48,048",6.0%,AC View
344,Mayiladuthurai,28,GEN,Tamil Nadu,Maniyan O.S.,All India Anna Dravida Munnetra Kazhagam,"10,91,519","8,00,627",73.4 %,"36,854",4.6%,AC View
345,Mayurbhanj,5,ST,Orissa,Laxman Tudu,Biju Janata Dal,"11,73,650","8,25,506",70.3 %,"66,178",8.0%,AC View
346,Medak,6,GEN,Andhra Pradesh,Vijaya Shanthi .M,Telangana Rashtra Samithi,"13,89,721","10,62,584",76.5 %,"6,077",0.6%,AC View
347,Medinipur,34,GEN,West Bengal,Prabodh Panda,Communist Party Of India,"12,62,983","10,43,731",82.6 %,"48,017",4.6%,AC View
