#,PC Name,No,Type,State,Winning Candidate,Party,Electors,Votes,Turnout
221,Jalore,293,GEN,Rajasthan,Damani Suraj Ratan,Indian National Congress,"4,10,988","1,38,063",33.6 %
222,Jamshedpur,86,GEN,Bihar [1947 - 1999],M.K. Ghosh,Indian National Congress,"3,99,840","1,60,822",40.2 %
223,Janjgir,187,GEN,Madhya Pradesh [1947 - 1999],Amarsingh Saigal,Indian National Congress,"4,10,835","1,24,089",30.2 %
224,Jaunpur,338,GEN,Uttar Pradesh [1947 - 1999],Ganpat Ram,Indian National Congress,"8,16,055","7,94,713",48.7 %
225,Jaunpur,338,GEN,Uttar Pradesh [1947 - 1999],Birbal Singh,Indian National Congress,"8,16,055","7,94,713",48.7 %
226,Jhabua,171,ST,Madhya Pradesh [1947 - 1999],Amarsingh (ST),Indian National Congress,"3,74,691","1,38,510",37.0 %
227,Jhajjar,267,GEN,Punjab,Partap Singh,Communist Party Of India,"4,22,351","2,70,637",64.1 %
228,Jhansi,325,GEN,Uttar Pradesh [1947 - 1999],Sushila Nayar,Indian National Congress,"3,90,926","1,65,447",42.3 %
229,Jhunjhunu,280,GEN,Rajasthan,Murarka Radhey Shyam Ram Kumar,Indian National Congress,"4,03,570","1,96,729",48.8 %
230,Jodhpur,295,GEN,Rajasthan,Jaswant Raj,Indian National Congress,"4,07,500","1,81,362",44.5 %
231,Jorhat,43,GEN,Assam,Ahmed Mofida,Indian National Congress,"3,73,626","1,76,442",47.2 %
232,Jullundur,276,GEN,Punjab,Swaran Singh,Indian National Congress,"8,53,060","10,09,778",59.2 %
233,Jullundur,276,GEN,Punjab,Sadhu Ram,Indian National Congress,"8,53,060","10,09,778",59.2 %
234,Kaira,103,GEN,Bombay,Dabhi Thakorshri Fatesinhji Ratansinhji,Independent,"3,82,298","2,45,504",64.2 %
235,Kaisarganj,352,GEN,Uttar Pradesh [1947 - 1999],Bhagwan Din,Indian National Congress,"3,98,173","1,56,398",39.3 %
236,Kaithal,265,GEN,Punjab,Mool Chand,Indian National Congress,"4,02,728","2,56,120",63.6 %
237,Kakinada,6,GEN,Andhra Pradesh,B.S. Murthy,Indian National Congress,"9,03,182","7,45,933",41.3 %
238,Kakinada,6,GEN,Andhra Pradesh,Mosalakanti Tirumala Rao,Indian National Congress,"9,03,182","7,45,933",41.3 %
239,Kalahandi,251,GEN,Orissa,Pratap Keshari Deo,Ganatantra Parishad,"7,32,328","4,71,952",32.2 %
240,Kalahandi,251,GEN,Orissa,Bijaya Chandra Padhan,Ganatantra Parishad,"7,32,328","4,71,952",32.2 %
241,Kanara,228,GEN,Mysore,Alva Joachim Piadad,Indian National Congress,"4,31,122","2,42,867",56.3 %
242,Kangra,263,GEN,Punjab,Daljit Singh,Indian National Congress,"8,46,795","2,86,822",16.9 %
243,Kangra,263,GEN,Punjab,Hem Raj,Indian National Congress,"8,46,795","2,86,822",16.9 %
244,Kanpur,331,GEN,Uttar Pradesh [1947 - 1999],S. M. Banerjee,Independent,"4,18,638","1,77,016",42.3 %
245,Karad,124,GEN,Bombay,Chavan Dajisaheb Ramrao,Peasants & Workers Party,"3,48,850","2,38,652",68.4 %
246,Karimnagar,31,GEN,Andhra Pradesh,M.R. Krishna,Indian National Congress,"7,48,201","7,32,963",49.0 %
247,Karimnagar,31,GEN,Andhra Pradesh,M. Sri Ranga Rao,Indian National Congress,"7,48,201","7,32,963",49.0 %
248,Karur,209,GEN,Madras,K. Periasami Gounder,Indian National Congress,"4,27,431","2,07,071",48.5 %
249,Kasergod,164,GEN,Kerala,Gopalan Ayillath Kuttieri,Communist Party Of India,"4,49,300","2,52,533",56.2 %
250,Katihar,64,GEN,Bihar [1947 - 1999],Awadhesh Kumar Singh,Indian National Congress,"3,76,760","1,50,894",40.1 %
251,Kendrapara,257,GEN,Orissa,Surendranath Dwivedy,Praja Socialist Party,"8,53,833","7,59,146",44.5 %
252,Kendrapara,257,GEN,Orissa,Baishanab Charan Malik,Praja Socialist Party,"8,53,833","7,59,146",44.5 %
253,Keonjhar,254,GEN,Orissa,Bhanj Deo Laxmi Narayan,Independent,"3,46,575","93,392",27.0 %
254,Kesaria,52,GEN,Bihar [1947 - 1999],Dwarkanath Tiwari,Indian National Congress,"3,39,047","1,31,716",38.9 %
255,Khagaria,70,GEN,Bihar [1947 - 1999],Jiya Lal Mandal,Indian National Congress,"3,63,573","2,05,000",56.4 %
256,Khajuraho,191,GEN,Madhya Pradesh [1947 - 1999],Motilal Malviya,Indian National Congress,"7,71,940","5,36,011",34.7 %
257,Khajuraho,191,GEN,Madhya Pradesh [1947 - 1999],Ram Sahai,Indian National Congress,"7,71,940","5,36,011",34.7 %
258,Khammam,34,GEN,Andhra Pradesh,Vittal Rao,Peoples Democratic Front,"3,76,471","2,40,837",64.0 %
259,Khed,119,GEN,Bombay,Salunke Balasaheb Dagaduji,All India Scheduled Caste Federation,"3,63,368","1,69,007",46.5 %
260,Kheri,365,GEN,Uttar Pradesh [1947 - 1999],Khushwaqt Rai Alias Bhaiyalal,Praja Socialist Party,"4,05,123","1,54,396",38.1 %
261,Kishanganj,62,GEN,Bihar [1947 - 1999],Md. Tahir,Indian National Congress,"3,88,648","1,43,835",37.0 %
262,Kolaba,116,GEN,Bombay,Raut Rajaram Balkrishna,Peasants & Workers Party,"3,32,039","1,78,591",53.8 %
263,Kolar,243,GEN,Mysore,K. Chengalaraya Reddy,Indian National Congress,"7,48,001","3,93,551",52.6 %
264,Kolar,243,GEN,Mysore,Doddathimmiah,Indian National Congress,"7,48,001",RU,NA
265,Kolhapur,122,GEN,Bombay,Dige Shankarrao Khanderao,All India Scheduled Caste Federation,"7,21,836","8,69,244",60.2 %
266,Kolhapur,122,GEN,Bombay,Mahagaonkar Bhausaheb Raosaheb,Peasants & Workers Party,"7,21,836","8,69,244",60.2 %
267,Kopargaon,128,GEN,Bombay,Kamble Bapu Chandrasen,Independent,"3,27,295","1,43,573",43.9 %
268,Koppal,235,GEN,Mysore,Sangappa Andanappa,Indian National Congress,"4,08,966","2,28,942",56.0 %
269,Koraput,249,GEN,Orissa,R. Jagannath Rao,Indian National Congress,"7,94,638","3,17,456",20.0 %
270,Koraput,249,GEN,Orissa,Toyaka Sanganna,Indian National Congress,"7,94,638","3,17,456",20.0 %
271,Kotah,287,GEN,Rajasthan,Nemi Chandra Kasliwal,Indian National Congress,"7,73,929","4,88,581",31.6 %
272,Kotah,287,GEN,Rajasthan,"Onkar Lal, S/o Jamna Lal",Indian National Congress,"7,73,929","4,88,581",31.6 %
273,Kottayam,154,GEN,Kerala,Mathew Maniyangadan,Indian National Congress,"3,79,331","2,87,074",75.7 %
274,Kozhikode,160,GEN,Kerala,Kuttikrishnan Nair,Indian National Congress,"4,52,798","2,68,664",59.3 %
275,Krishnagiri,199,GEN,Madras,C. R. Narsimhan,Indian National Congress,"4,46,928","1,44,194",32.3 %
276,Kumbakonam,206,GEN,Madras,C. R. Pattabhiraman,Indian National Congress,"4,29,889","2,17,286",50.5 %
277,Kurnool,23,GEN,Andhra Pradesh,Osman Ali Khan,Indian National Congress,"4,22,547","1,03,268",24.4 %
278,Kutch,91,GEN,Bombay,Bhavanji A. Khimji,Indian National Congress,"3,52,326","1,50,285",42.7 %
279,Lohardaga,89,ST,Bihar [1947 - 1999],Ignece Beck,Jharkhand Party,"3,29,578","1,14,376",34.7 %
280,Lucknow,362,GEN,Uttar Pradesh [1947 - 1999],Pulin Behari Banerji,Indian National Congress,"3,78,020","1,70,579",45.1 %
281,Ludhiana,277,GEN,Punjab,Bahadur Singh,Indian National Congress,"8,07,145","9,33,918",57.9 %
282,Ludhiana,277,GEN,Punjab,Ajit Singh,Indian National Congress,"8,07,145","9,33,918",57.9 %
283,Madhubani,58,GEN,Bihar [1947 - 1999],Anirudh Singh,Indian National Congress,"4,05,430","1,74,371",43.0 %
284,Madhya Saurashtra,93,GEN,Bombay,Shah Manubhai Mansukhlal,Indian National Congress,"3,73,121","1,45,045",38.9 %
285,Madras North,192,GEN,Madras,S. C. C. Anthony Pillai,Independent,"4,49,968","1,76,835",39.3 %
286,Madras South,193,GEN,Madras,T. T. Krishnamachari,Indian National Congress,"4,72,017","1,77,190",37.5 %
287,Madurai,219,GEN,Madras,K. T. K. Thangamani,Communist Party Of India,"4,60,493","2,26,674",49.2 %
288,Maharajganj,51,GEN,Bihar [1947 - 1999],Mahendra Nath Singh,Indian National Congress,"3,85,849","1,47,420",38.2 %
289,Mahasu,398,GEN,Himachal Pradesh,Yeshwant Singh,Indian National Congress,"3,20,908","2,17,844",33.9 %
290,Mahasu,398,GEN,Himachal Pradesh,Nek Ram,Indian National Congress,"3,20,908","2,17,844",33.9 %
291,Mahbubabad,33,GEN,Andhra Pradesh,E. Madhusudhan Rao,Indian National Congress,"3,72,879","2,00,672",53.8 %
292,Mahbubnagar,24,GEN,Andhra Pradesh,J. Rameshwar Rao,Indian National Congress,"7,69,063","6,46,819",42.1 %
293,Mahbubnagar,24,GEN,Andhra Pradesh,Puli Rama Swamy,Indian National Congress,"7,69,063","6,46,819",42.1 %
294,Mahendragarh,269,GEN,Punjab,Ram Krishan,Indian National Congress,"4,52,591","2,38,833",52.8 %
295,Mahrajganj,347,GEN,Uttar Pradesh [1947 - 1999],Prof. Shibban Lal Saxena,Independent,"3,95,546","1,76,183",44.5 %
296,Mainpuri,324,GEN,Uttar Pradesh [1947 - 1999],Bansi Das Dhangar,Praja Socialist Party,"3,93,180","1,96,750",50.0 %
297,Malda,369,GEN,West Bengal,Renuka Ray,Indian National Congress,"4,09,274","2,09,203",51.1 %
298,Malegaon,130,GEN,Bombay,Jadhav Yadav Narayan,Praja Socialist Party,"3,75,529","2,38,079",63.4 %
299,Mandasur,170,GEN,Madhya Pradesh [1947 - 1999],Manaklal,Indian National Congress,"3,62,466","1,56,234",43.1 %
300,Mandi,399,GEN,Himachal Pradesh,Joginder Sen,Indian National Congress,"1,80,306","90,640",50.3 %
301,Mandla,180,ST,Madhya Pradesh [1947 - 1999],Mangrubabu Uike (S.T.),Indian National Congress,"3,66,868",RU,NA
302,Mandvi,109,ST,Bombay,Kedaria Chhaganlal Madaribhai,Indian National Congress,"3,79,317","2,23,157",58.8 %
303,Mandya,240,GEN,Mysore,M. K. Shivananjappa,Indian National Congress,"3,87,265","2,31,461",59.8 %
304,Mangalore,247,GEN,Mysore,Achar K. R.,Indian National Congress,"4,35,650","2,50,185",57.4 %
305,Manjeri,161,GEN,Kerala,Pocker Kuttivatha,Independent,"4,18,881","2,29,402",54.8 %
306,Markapur,15,GEN,Andhra Pradesh,Chegireddi Bali Reddy,Indian National Congress,"4,38,204","1,70,026",38.8 %
307,Masulipatnam,11,GEN,Andhra Pradesh,Mandali Venkata Krishna Rao,Indian National Congress,"4,38,973","2,58,626",58.9 %
308,Mathura,319,GEN,Uttar Pradesh [1947 - 1999],Raja Mahendra Pratap,Independent,"4,23,432","2,34,019",55.3 %
309,Mayurbhanj,255,ST,Orissa,Ram Chandra Majhi,Independent,"3,98,171","97,175",24.4 %
310,Medak,28,GEN,Andhra Pradesh,P. Hanmanth Rao,Indian National Congress,"3,78,686","1,89,121",49.9 %
311,Meerut,304,GEN,Uttar Pradesh [1947 - 1999],Shah Nawaz Khan,Indian National Congress,"3,92,800","2,40,937",61.3 %
312,Mehsana,100,GEN,Bombay,Patel Purshottamdas Rachhoddas,Independent,"3,79,356","2,54,689",67.1 %
313,Midnapur,382,GEN,West Bengal,Narasingha Malla Ugal Sanda Deb,Indian National Congress,"8,57,143","7,33,085",42.8 %
314,Midnapur,382,GEN,West Bengal,Subodh Hansda,Indian National Congress,"8,57,143","7,33,085",42.8 %
315,Miraj,123,GEN,Bombay,Patil Balwant Alias Balasaheb Pandurag,Peasants & Workers Party,"3,70,305","2,43,605",65.8 %
316,Mirzapur,335,GEN,Uttar Pradesh [1947 - 1999],J. N. Wilson,Indian National Congress,"7,85,628","7,02,816",44.7 %
317,Mirzapur,335,GEN,Uttar Pradesh [1947 - 1999],Rup Narain,Indian National Congress,"7,85,628","7,02,816",44.7 %
318,Monghyr,69,GEN,Bihar [1947 - 1999],Banarsi Pd. Sinha,Indian National Congress,"6,58,086","6,63,987",50.5 %
319,Monghyr,69,GEN,Bihar [1947 - 1999],Nayan Tara Das,Indian National Congress,"6,58,086","6,63,987",50.5 %
320,Moradabad,310,GEN,Uttar Pradesh [1947 - 1999],Ram Saran,Indian National Congress,"4,12,419","2,07,244",50.3 %
321,Mukundapuram,157,GEN,Kerala,Narayanankutty Menon,Communist Party Of India,"4,07,952","3,05,569",74.9 %
322,Murshidabad,370,GEN,West Bengal,Muhammad Khuda Bukhsh,Indian National Congress,"4,23,003","2,02,822",48.0 %
323,Musafirkhana,358,GEN,Uttar Pradesh [1947 - 1999],Balkrishna Vishwanath Keskar,Indian National Congress,"3,87,572","1,31,086",33.8 %
324,Muvattupuzha,155,GEN,Kerala,George Thomas,Indian National Congress,"3,89,211","2,42,844",62.4 %
325,Muzaffarnagar,303,GEN,Uttar Pradesh [1947 - 1999],Sumat Prasad,Indian National Congress,"3,88,461","1,92,106",49.5 %
326,Muzaffarpur,54,GEN,Bihar [1947 - 1999],Shyam Nandan Sahay,Indian National Congress,"3,75,378","1,81,921",48.5 %
327,Mysore,246,GEN,Mysore,M. Shankariah,Indian National Congress,"7,48,017","7,55,460",50.5 %
328,Mysore,246,GEN,Mysore,S. M. Siddiah,Indian National Congress,"7,48,017","7,55,460",50.5 %
329,Nabadwip,393,GEN,West Bengal,Ila Pal Choudhury,Indian National Congress,"4,09,205","2,19,064",53.5 %
330,Nagapattinam,205,GEN,Madras,K. R. Sambandam,Indian National Congress,"8,55,083","9,36,161",54.7 %
331,Nagapattinam,205,GEN,Madras,M. Ayyakannu,Indian National Congress,"8,55,083","9,36,161",54.7 %
332,Nagaur,296,GEN,Rajasthan,Mathura Dass,Indian National Congress,"4,45,844","2,19,883",49.3 %
333,Nagpur,138,GEN,Bombay,Kale Anasuyabai Purushottam,Indian National Congress,"3,73,938","2,24,244",60.0 %
334,Nainital,313,GEN,Uttar Pradesh [1947 - 1999],C. D. Pande,Indian National Congress,"3,98,104","1,93,702",48.7 %
335,Nalanda,72,GEN,Bihar [1947 - 1999],Kailash Pati Singh,Indian National Congress,"3,50,254","1,61,004",46.0 %
336,Nalgonda,35,GEN,Andhra Pradesh,D. Venkateswar Rao,Peoples Democratic Front,"7,95,291","8,59,439",54.0 %
337,Nalgonda,35,GEN,Andhra Pradesh,D. Rajiah,Indian National Congress,"7,95,291","8,59,439",54.0 %
338,Namakkal,222,GEN,Madras,E. V. K. Sampath,Independent,"8,36,631","7,65,012",45.7 %
339,Namakkal,222,GEN,Madras,S. R. Arumugam,Indian National Congress,"8,36,631","7,65,012",45.7 %
340,Nanded,143,GEN,Bombay,Kamble Deorao Namdeo,Indian National Congress,"7,63,426","6,05,722",39.7 %
341,Nanded,143,GEN,Bombay,Sonule Harihar Rao,All India Scheduled Caste Federation,"7,63,426","6,05,722",39.7 %
342,Narsapur,7,GEN,Andhra Pradesh,Uddaraju Ramam,Communist Party Of India,"4,57,723","2,60,037",56.8 %
343,Nasik,129,GEN,Bombay,Gaikwad Bhaurao Krishanarao,All India Scheduled Caste Federation,"3,66,438","1,76,384",48.1 %
344,Nawada,79,GEN,Bihar [1947 - 1999],Satyabhama Devi,Indian National Congress,"7,18,269","5,35,744",37.3 %
345,Nawada,79,GEN,Bihar [1947 - 1999],Ramdhani Das,Indian National Congress,"7,18,269","5,35,744",37.3 %
346,Negercoil,214,GEN,Madras,Thanulingom Nadar,Indian National Congress,"3,80,167","1,89,086",49.7 %
347,Nellore,16,GEN,Andhra Pradesh,B. Anjanappa,Indian National Congress,"8,79,574","6,21,871",35.4 %
348,Nellore,16,GEN,Andhra Pradesh,Rebala Lakshmi Narasa Reddy,Indian National Congress,"8,79,574","6,21,871",35.4 %
349,Newdelhi,394,GEN,Delhi,Sucheta Kripalani,Indian National Congress,"1,92,753","1,03,914",53.9 %
350,Nilgiris,225,GEN,Madras,C. Nanjappan,Indian National Congress,"4,02,143","2,06,869",51.4 %
351,Nimar,173,GEN,Madhya Pradesh [1947 - 1999],Varma Ramsingh,Indian National Congress,"3,95,767","1,54,238",39.0 %
352,Nimar (KHANDWA),178,GEN,Madhya Pradesh [1947 - 1999],Babulal Surajmani,Indian National Congress,"3,84,697","2,01,869",52.5 %
353,Nizamabad,29,GEN,Andhra Pradesh,Harish Chandra Heda,Indian National Congress,"4,02,088","1,83,763",45.7 %
354,Nowgong,42,GEN,Assam,"Kataki, Liladhar",Indian National Congress,"3,92,935","1,92,740",49.1 %
355,Ongole,14,GEN,Andhra Pradesh,Ronda Narapa Reddy,Indian National Congress,"4,77,593","2,48,545",52.0 %
356,Osmanabad,144,GEN,Bombay,Venkat Rao Shrinivas Rao,Indian National Congress,"3,56,233","1,79,857",50.5 %
357,Outer Delhi,397,GEN,Delhi,Naval Prabhakar,Indian National Congress,"4,39,791","4,72,404",53.7 %
358,Outer Delhi,397,GEN,Delhi,C. Krishnan Nair,Indian National Congress,"4,39,791","4,72,404",53.7 %
359,Outer Manipur,402,ST,Manipur,Rungsung Suisa,Indian National Congress,"1,63,252","81,247",49.8 %
360,Palamau,90,GEN,Bihar [1947 - 1999],Gajendra Pd. Sinha,Indian National Congress,"3,49,569","1,15,601",33.1 %
361,Palghat,159,GEN,Kerala,Kunhan P.,Communist Party Of India,"8,44,346","9,10,729",53.9 %
362,Palghat,159,GEN,Kerala,Eacharan V. Iyyani,Indian National Congress,"8,44,346","9,10,729",53.9 %
363,Pali,292,GEN,Rajasthan,Harish Chandra Mathur,Indian National Congress,"3,87,001","1,67,222",43.2 %
364,Panchmahals,105,GEN,Bombay,Gandhi Maneklal  Maganlal,Indian National Congress,"3,78,923","1,73,404",45.8 %
365,Parbhani,146,GEN,Bombay,Nagorao S/o Keroji,Indian National Congress,"3,78,985","1,29,641",34.2 %
366,Parvathipuram,2,GEN,Andhra Pradesh,B. Satyanarayana,Indian National Congress,"8,27,104","4,94,403",29.9 %
367,Parvathipuram,2,GEN,Andhra Pradesh,Dippala Suri Dora,Independent,"8,27,104","4,94,403",29.9 %
368,Patan,101,GEN,Bombay,Thakore Motisinh Bahadursinh,Independent,"3,77,074","2,22,260",58.9 %
369,Patiala,279,GEN,Punjab,Achint Ram,Indian National Congress,"4,56,352","2,37,930",52.1 %
370,Patna,74,GEN,Bihar [1947 - 1999],Sarangdhar Sinha,Indian National Congress,"3,22,388","1,42,554",44.2 %
371,Perambalur,208,GEN,Madras,M. Palaniandi,Indian National Congress,"4,42,543","2,30,778",52.2 %
372,Periyakulam,218,GEN,Madras,R. Narayanasamy,Indian National Congress,"4,35,624","2,32,940",53.5 %
373,Phulpur,334,GEN,Uttar Pradesh [1947 - 1999],Jawahar Lal Nehru,Indian National Congress,"7,98,642","6,16,862",38.6 %
374,Phulpur,334,GEN,Uttar Pradesh [1947 - 1999],Masuriya Din,Indian National Congress,"7,98,642","6,16,862",38.6 %
375,Pilibhit,314,GEN,Uttar Pradesh [1947 - 1999],Mohan Swaroop,Praja Socialist Party,"3,90,591","1,59,895",40.9 %
376,Pollachi,221,GEN,Madras,P. R. Ramakrishnan,Indian National Congress,"4,42,467","2,63,602",59.6 %
377,Poona,117,GEN,Bombay,Goray Narayan Ganesh,Praja Socialist Party,"3,57,242","2,43,408",68.1 %
378,Pratapgarh,359,GEN,Uttar Pradesh [1947 - 1999],Munishwar Dutt Upadhyay,Indian National Congress,"3,84,272","1,44,172",37.5 %
379,Pudukkottai,211,GEN,Madras,F. Ramanathan Chattiar,Indian National Congress,"4,19,435","2,22,751",53.1 %
380,Pupri,56,GEN,Bihar [1947 - 1999],Digvijaya Narain Singh,Indian National Congress,"3,90,892","2,07,061",53.0 %
381,Puri,262,GEN,Orissa,Chintamani Panigrahi,Communist Party Of India,"4,11,216","1,57,551",38.3 %
382,Purnea,63,GEN,Bihar [1947 - 1999],Phani Gopal Sen Gupta,Indian National Congress,"3,94,634","1,72,563",43.7 %
383,Purulia,375,GEN,West Bengal,Bibhuti Bhusan Das Gupta,Independent,"3,66,520","1,32,588",36.2 %
384,Quilon,151,GEN,Kerala,Kodiyan (S. C. ),Communist Party Of India,"8,01,581","12,03,754",75.1 %
385,Quilon,151,GEN,Kerala,Parameswaran Nair V.,Communist Party Of India,"8,01,581","12,03,754",75.1 %
386,Rae Bareli,360,GEN,Uttar Pradesh [1947 - 1999],Feroze Gandhi,Indian National Congress,"8,04,426","6,75,357",42.0 %
387,Rae Bareli,360,GEN,Uttar Pradesh [1947 - 1999],Baij Nath Kureel,Indian National Congress,"8,04,426","6,75,357",42.0 %
388,Raichur,234,GEN,Mysore,G. S. Melkote,Indian National Congress,"4,05,678","1,50,148",37.0 %
389,Raipur,184,GEN,Madhya Pradesh [1947 - 1999],Raja Birendra Bahadur Singh (S. T. ),Indian National Congress,"7,99,936","6,34,680",39.7 %
390,Raipur,184,GEN,Madhya Pradesh [1947 - 1999],Rani Keshar Kumari Devi (S. T. ),Indian National Congress,"7,99,936","6,34,680",39.7 %
391,Rajampet,18,GEN,Andhra Pradesh,T.N. Viswanath Reddy,Indian National Congress,"4,17,694",RU,NA
392,Rajamundry,5,GEN,Andhra Pradesh,D. Satyanarayana Raju,Indian National Congress,"4,30,056",RU,NA
393,Rajapur,121,GEN,Bombay,Pai Nath Bapu,Praja Socialist Party,"3,38,461","1,54,492",45.7 %
394,Rajmahal,65,ST,Bihar [1947 - 1999],Paika Murmu,Indian National Congress,"3,72,878","1,18,640",31.8 %
395,Ramanathapuram,212,GEN,Madras,P. Subbiah Ambalam,Indian National Congress,"4,68,851","2,38,502",50.9 %
396,Rampur,311,GEN,Uttar Pradesh [1947 - 1999],Raja Syed Ahmad Mehdi,Indian National Congress,"4,03,446","1,86,971",46.3 %
397,Ramtek,137,GEN,Bombay,Deshmukh Krishnarao Gulabrao,Indian National Congress,"4,16,239","2,68,573",64.5 %
398,Ranchi East,85,GEN,Bihar [1947 - 1999],M.R.Masani,Jharkhand Party,"3,36,924","1,12,864",33.5 %
399,Ranchi West,88,ST,Bihar [1947 - 1999],Jaipal Singh,Jharkhand Party,"3,86,903","2,31,027",59.7 %
400,Rasra,340,GEN,Uttar Pradesh [1947 - 1999],Sarju Pande,Communist Party Of India,"4,17,479","2,14,340",51.3 %
401,Ratnagiri,120,GEN,Bombay,Assar Premjibhai Ranchhoddas,All India Bhartiya Jan Sangh,"3,44,178","1,55,438",45.2 %
402,Rewa,190,GEN,Madhya Pradesh [1947 - 1999],Shiva Datta,Indian National Congress,"3,95,851","1,40,385",35.5 %
403,Rohtak,266,GEN,Punjab,Ranbir Singh,Indian National Congress,"3,94,077","2,73,698",69.5 %
404,Sabarkantha,99,GEN,Bombay,Nanda Gulzarilal Bulakhiram,Indian National Congress,"3,39,021","1,70,385",50.3 %
405,Sagar,175,GEN,Madhya Pradesh [1947 - 1999],Jawala Prasad Jyotishi,Indian National Congress,"7,52,447","5,64,508",37.5 %
406,Sagar,175,GEN,Madhya Pradesh [1947 - 1999],Sahodra Bai Murlidhar (SC),Indian National Congress,"7,52,447","5,64,508",37.5 %
407,Saharanpur,302,GEN,Uttar Pradesh [1947 - 1999],Ajit Prasad Jain,Indian National Congress,"8,17,556","9,29,055",56.8 %
408,Saharanpur,302,GEN,Uttar Pradesh [1947 - 1999],Sunder Lal,Indian National Congress,"8,17,556","9,29,055",56.8 %
409,Saharsa,61,GEN,Bihar [1947 - 1999],Lalit Narain Mishra,Indian National Congress,"7,14,574","6,10,961",42.8 %
410,Saharsa,61,GEN,Bihar [1947 - 1999],Bholi Sardar,Indian National Congress,"7,14,574","6,10,961",42.8 %
411,Salem,201,GEN,Madras,S. V. Ramasami,Indian National Congress,"4,01,741","1,80,883",45.0 %
412,Salempur,344,GEN,Uttar Pradesh [1947 - 1999],Bishwanath Roy,Indian National Congress,"4,28,505","1,63,090",38.1 %
413,Samastipur,59,GEN,Bihar [1947 - 1999],Satya Narayan Sinha,Indian National Congress,"3,46,226","1,66,815",48.2 %
414,Sambalpur,252,GEN,Orissa,Banamali Kumbhar,Ganatantra Parishad,"7,96,199","4,62,051",29.0 %
415,Sambalpur,252,GEN,Orissa,Sradhakar Supakar,Ganatantra Parishad,"7,96,199","4,62,051",29.0 %
416,Sardhana,305,GEN,Uttar Pradesh [1947 - 1999],Vishnu Sharan Dublish,Indian National Congress,"4,18,676","2,37,476",56.7 %
417,Sasaram,77,GEN,Bihar [1947 - 1999],Ramsubhag Singh,Indian National Congress,"7,41,808","3,52,370",47.5 %
418,Sasaram,77,GEN,Bihar [1947 - 1999],Jagjiwan Ram,Indian National Congress,"7,41,808",RU,NA
419,Satara,125,GEN,Bombay,Patil Nana Ramchandra,Communist Party Of India,"3,66,598","2,21,939",60.5 %
420,Sawai Madhopur,286,GEN,Rajasthan,Hiralal Shastri,Indian National Congress,"8,50,263","6,47,599",38.1 %
421,Sawai Madhopur,286,GEN,Rajasthan,Jagan Nath,Indian National Congress,"8,50,263","6,47,599",38.1 %
422,Secunderabad,26,GEN,Andhra Pradesh,Ahmed Mohiuddin,Indian National Congress,"3,41,797","1,47,258",43.1 %
423,Serampore,378,GEN,West Bengal,Jitendra Nath Lahiri,Indian National Congress,"4,28,149","2,46,062",57.5 %
424,Shahabad,75,GEN,Bihar [1947 - 1999],Baliram Bhagat,Indian National Congress,"3,76,683","1,75,177",46.5 %
425,Shahdol,189,GEN,Madhya Pradesh [1947 - 1999],Anand Chandra Joshi,Indian National Congress,"7,84,252","3,84,145",24.5 %
426,Shahdol,189,GEN,Madhya Pradesh [1947 - 1999],Kamal Narain Singh,Indian National Congress,"7,84,252","3,84,145",24.5 %
427,Shahjahanpur,315,GEN,Uttar Pradesh [1947 - 1999],Narain Din,Indian National Congress,"8,14,333","7,23,418",44.4 %
428,Shahjahanpur,315,GEN,Uttar Pradesh [1947 - 1999],Seth Bishan Chandra,Independent,"8,14,333","7,23,418",44.4 %
429,Shajapur,168,GEN,Madhya Pradesh [1947 - 1999],Liladhar,Indian National Congress,"7,78,985","5,96,213",38.3 %
430,Shajapur,168,GEN,Madhya Pradesh [1947 - 1999],Kanhaiyalal,Indian National Congress,"7,78,985","5,96,213",38.3 %
431,Shimoga,238,GEN,Mysore,K. G. Wodeyar,Indian National Congress,"3,91,924","2,11,204",53.9 %
432,Shiv Puri,166,GEN,Madhya Pradesh [1947 - 1999],Brijnarain,Akhil Bharatiya Hindu Mahasabha,"3,99,872","1,73,613",43.4 %
433,Sholapur,126,GEN,Bombay,Sonavane Tayappa Hari,Indian National Congress,"7,53,307","7,45,171",49.5 %
434,Sholapur,126,GEN,Bombay,More Jayawant Ghanshyam,Independent,"7,53,307","7,45,171",49.5 %
435,Sibsagar,44,GEN,Assam,"Borua, Profulla Chandra",Indian National Congress,"3,75,283","1,64,601",43.9 %
436,Sikar,281,GEN,Rajasthan,Rameshwar Tantia,Indian National Congress,"4,01,674","1,98,511",49.4 %
437,Singhbhum,87,ST,Bihar [1947 - 1999],Shambhu Charan,Jharkhand Party,"3,97,630","1,39,346",35.0 %
438,Sitamarhi,55,GEN,Bihar [1947 - 1999],Acharya J. B. Kripalani,Praja Socialist Party,"4,17,735","2,11,523",50.6 %
439,Sitapur,364,GEN,Uttar Pradesh [1947 - 1999],Pragi Lal,Indian National Congress,"9,26,313","7,91,021",42.7 %
440,Sitapur,364,GEN,Uttar Pradesh [1947 - 1999],Uma Nehru,Indian National Congress,"9,26,313","7,91,021",42.7 %
441,Siwan,49,GEN,Bihar [1947 - 1999],Jhulan Singh,Indian National Congress,"3,78,240","1,38,756",36.7 %
