#,PC Name,No,Type,State,Winning Candidate,Party,Electors,Votes,Turnout
206,Howrah,289,GEN,West Bengal,Santosh Kumar Dutta,Indian National Congress,"3,78,918","1,78,071",47.0 %
207,Hyderabad City,303,GEN,Hyderabad,Ahmed Mohiuddin,Indian National Congress,"3,43,535","1,47,657",43.0 %
208,Ibrahimpatam,304,GEN,Hyderabad,Sadat Ali Khan,Indian National Congress,"3,45,396","1,44,579",41.9 %
209,Indore,326,GEN,Madhya Bharat,Nandlal Surya Narayan,Indian National Congress,"3,87,379","1,78,654",46.1 %
210,Inner Manipur,394,GEN,Manipur,Jogeswor Singh,Indian National Congress,"1,49,617","74,906",50.1 %
211,Jabalpur North,101,GEN,Madhya Pradesh [1947 - 1999],Sushil Kumar,Indian National Congress,"3,99,430","1,76,914",44.3 %
212,Jaipur,356,GEN,Rajasthan,Daulat Mal,Indian National Congress,"3,97,855","1,19,094",29.9 %
213,Jaipur Sawaimadhopur,346,GEN,Rajasthan,Ram Karan Joshi,Indian National Congress,"3,82,763","1,22,770",32.1 %
214,Jajpur Keonjhar,184,GEN,Orissa,Bhubananda Das,Indian National Congress,"7,29,056","4,57,314",31.4 %
215,Jajpur Keonjhar,184,GEN,Orissa,Lakhmidhar Jena,All India Gantantra Parishad,"7,29,056","4,57,314",31.4 %
216,Jalaun Distt Cum Etawah Distt (WEST) CUM JHANSI DISTT (NORTH),235,GEN,Uttar Pradesh [1947 - 1999],Lotan Ram,Indian National Congress,"7,53,180","5,84,312",38.8 %
217,Jalaun Distt Cum Etawah Distt (WEST) CUM JHANSI DISTT (NORTH),235,GEN,Uttar Pradesh [1947 - 1999],Hoti Lal,Indian National Congress,"7,53,180","5,84,312",38.8 %
218,Jalgaon,70,GEN,Bombay,Pataskar Hari Vinayak,Indian National Congress,"3,56,253","2,05,133",57.6 %
219,Jaunpur District (EAST),253,GEN,Uttar Pradesh [1947 - 1999],Birbal Singh,Indian National Congress,"7,09,849","5,63,586",39.7 %
220,Jaunpur District (EAST),253,GEN,Uttar Pradesh [1947 - 1999],Ganpat,Indian National Congress,"7,09,849","5,63,586",39.7 %
221,Jhabua,325,ST,Madhya Bharat,Amar Singh,Indian National Congress,"3,69,032","1,40,946",38.2 %
222,Jhajjar Rewari,196,GEN,Punjab,Ghamandi Lal,Indian National Congress,"3,82,413","2,46,224",64.4 %
223,Jhansi District (SOUTH),239,GEN,Uttar Pradesh [1947 - 1999],Dhulekar Raghunath,Indian National Congress,"3,59,042","1,35,532",37.8 %
224,Jodhpur,351,GEN,Rajasthan,Hanwant Singh,Independent,"4,02,871","1,77,850",44.2 %
225,Jullundur,202,GEN,Punjab,Amar Nath,Indian National Congress,"3,59,274","1,99,468",55.5 %
226,Kaira North,61,GEN,Bombay,Dabhi Fulsinhjee Bharatsinhji,Indian National Congress,"3,91,562","2,30,681",58.9 %
227,Kaira South,62,GEN,Bombay,Patel Maniben Vallabhbhai,Indian National Congress,"3,68,127","2,33,148",63.3 %
228,Kakinada,120,GEN,Madras,Chelikani Venkata Rama Rao,Communist Party Of India,"3,46,057","2,19,834",63.5 %
229,Kalahandi Bolangir,179,GEN,Orissa,Giridhari Bhoi,All India Gantantra Parishad,"7,90,404","5,53,858",35.0 %
230,Kalahandi Bolangir,179,GEN,Orissa,Rajendra Narayan Singh Deo,All India Gantantra Parishad,"7,90,404","5,53,858",35.0 %
231,Kalna Katwa,293,GEN,West Bengal,Jonab Abdus Sattar,Indian National Congress,"3,77,219","1,85,672",49.2 %
232,Kanara,88,GEN,Bombay,Alva Jaochim Piedade,Indian National Congress,"3,70,650","2,30,512",62.2 %
233,Kancheepuram,142,GEN,Madras,A. Krishnaswami,Common Weal Party,"3,32,827","1,99,957",60.1 %
234,Kangra,204,GEN,Punjab,Hem Raj,Indian National Congress,"3,38,943","1,59,053",46.9 %
235,Kanpur District Central,237,GEN,Uttar Pradesh [1947 - 1999],Hari Har Nath Shastri,Indian National Congress,"3,95,486","1,36,821",34.6 %
236,Kanpur District South Cum Etawah District,238,GEN,Uttar Pradesh [1947 - 1999],Bal Krishna Sharma,Indian National Congress,"3,76,278","1,60,257",42.6 %
237,Kanpur Distt North Cum Farrukhabad Distt South,236,GEN,Uttar Pradesh [1947 - 1999],V. N. Tiwari,Indian National Congress,"3,65,691","1,66,635",45.6 %
238,Kapurthala Bhatinda,345,GEN,Patiala And East Punj,Hukam Singh,Shiromani Akali Dal,"7,13,275","8,63,273",60.5 %
239,Kapurthala Bhatinda,345,GEN,Patiala And East Punj,Ajit Singh,Shiromani Akali Dal,"7,13,275","8,63,273",60.5 %
240,Karimnagar,320,GEN,Hyderabad,Badan Yella Reddy,Peoples Democratic Front,"7,50,904","7,15,873",47.7 %
241,Karimnagar,320,GEN,Hyderabad,M. R. Krishnan,All India Scheduled Caste Federation,"7,50,904","7,15,873",47.7 %
242,Karnal,194,GEN,Punjab,Subhadra Joshi,Indian National Congress,"7,65,032","8,42,918",55.1 %
243,Karnal,194,GEN,Punjab,Virendra Kumar,Indian National Congress,"7,65,032","8,42,918",55.1 %
244,Kendrapara,187,GEN,Orissa,Nityananda Kanungo,Indian National Congress,"4,00,630","1,73,806",43.4 %
245,Khammam,322,GEN,Hyderabad,T. B. Vittala Rao,Peoples Democratic Front,"3,54,276","1,88,064",53.1 %
246,Khurda,190,GEN,Orissa,Lingraj Misra,Indian National Congress,"3,95,605","1,38,531",35.0 %
247,Kolaba,78,GEN,Bombay,Deshmukh Chintaman Dwarkanath,Indian National Congress,"3,52,119","1,83,658",52.2 %
248,Kolar,333,GEN,Mysore,Doddathimmiah,Indian National Congress,"7,41,116","7,17,848",48.4 %
249,Kolar,333,GEN,Mysore,M. V. Krishnappa,Indian National Congress,"7,41,116","7,17,848",48.4 %
250,Kolhapur Cum Satara,76,GEN,Bombay,Kumbhar Ratnappa Bharamappa,Indian National Congress,"7,49,539","8,32,165",55.5 %
251,Kolhapur Cum Satara,76,GEN,Bombay,Khardekar Balasaheb Hasanmantrao,Independent,"7,49,539","8,32,165",55.5 %
252,Kotab Bundi,362,GEN,Rajasthan,Chandra Sen,Akhil Bharatiya Ram Rajya Parishad,"4,11,738","93,005",22.6 %
253,Kotah Jhalawar,363,GEN,Rajasthan,Nemichand Kasilwal,Indian National Congress,"3,61,030","94,936",26.3 %
254,Kottayam,377,GEN,Travancore Cochin,C. P. Mathew,Indian National Congress,"3,54,046","2,84,961",80.5 %
255,Kozhikode,174,GEN,Madras,Achuthan Damodaran Menon,Kisan Mazdoor Praja Party,"3,55,807","2,36,008",66.3 %
256,Krishnagiri,145,GEN,Madras,C. R. Narasimhan,Indian National Congress,"3,55,317","1,47,253",41.4 %
257,Kumbakonam,157,GEN,Madras,C. Ramaswamy Mudaliar,Indian National Congress,"3,61,514","2,29,457",63.5 %
258,Kurnool,132,GEN,Madras,H. Sitharama Reddy,Indian National Congress,"3,54,755","1,94,213",54.8 %
259,Kustagi,306,GEN,Hyderabad,Shiv Murthy Swamy,Independent,"3,56,258","1,70,259",47.8 %
260,Kutch East,392,GEN,Kutch,Dholakia Gulabshanker Amrutlal,Indian National Congress,"1,47,409","49,236",33.4 %
261,Kutch West,393,GEN,Kutch,Khimji Bhawanji Arjun,Indian National Congress,"1,40,991","70,344",49.9 %
262,Lucknow District Central,247,GEN,Uttar Pradesh [1947 - 1999],Vijayalakshmi Pandit,Indian National Congress,"3,53,447","1,48,569",42.0 %
263,Lucknow Distt Cum Bara Banki Distt,246,GEN,Uttar Pradesh [1947 - 1999],Ganga Devi,Indian National Congress,"7,30,269","4,98,095",34.1 %
264,Lucknow Distt Cum Bara Banki Distt,246,GEN,Uttar Pradesh [1947 - 1999],Mohan Lal Saxena,Indian National Congress,"7,30,269","4,98,095",34.1 %
265,Madhya Saurashtra,365,GEN,Saurashtra,Joshi Jethalal Harikrishna,Indian National Congress,"3,12,441","1,39,962",44.8 %
266,Madras,139,GEN,Madras,T. T. Krishnamachari,Indian National Congress,"3,69,299","1,95,370",52.9 %
267,Madurai,167,GEN,Madras,S. Balasubramaniam,Indian National Congress,"7,57,254","7,33,762",48.5 %
268,Madurai,167,GEN,Madras,P. M. Kakkan,Indian National Congress,"7,57,254","7,33,762",48.5 %
269,Mahasamund,95,GEN,Madhya Pradesh [1947 - 1999],Sheodas Daga,Indian National Congress,"3,92,827","1,59,178",40.5 %
270,Mahboobnagar,305,GEN,Hyderabad,Janardhan Reddy,Indian National Congress,"7,56,778","3,44,270",45.5 %
271,Mahboobnagar,305,GEN,Hyderabad,P. Ramaswamy,Indian National Congress,"7,56,778",RU,NA
272,Mainpuri District (EAST),234,GEN,Uttar Pradesh [1947 - 1999],Badshah Gupta,Indian National Congress,"3,40,120","1,39,345",41.0 %
273,Malappuram,175,GEN,Madras,B. Pocker,Madras State Muslim League Party,"3,69,412","2,03,899",55.2 %
274,Malda,279,GEN,West Bengal,Surendra Mohan Ghose,Indian National Congress,"3,54,919","1,45,601",41.0 %
275,Manbhum North,52,GEN,Bihar [1947 - 1999],Mohan Hari,Indian National Congress,"6,88,360","4,35,123",31.6 %
276,Manbhum North,52,GEN,Bihar [1947 - 1999],Prabhat Chandra Bose,Indian National Congress,"6,88,360","4,35,123",31.6 %
277,Manbhum South Cum Dhalbhum,53,GEN,Bihar [1947 - 1999],Bhajahari Mahaton,Lok Sewak Sangh,"7,30,957","4,81,518",32.9 %
278,Manbhum South Cum Dhalbhum,53,GEN,Bihar [1947 - 1999],Chaitan Manjhi,Lok Sewak Sangh,"7,30,957","4,81,518",32.9 %
279,Mandi Mahasu,390,GEN,Himachal Pradesh,Amrit Kaur,Indian National Congress,"3,50,437","1,75,377",25.0 %
280,Mandi Mahasu,390,GEN,Himachal Pradesh,Gopi Ram,Indian National Congress,"3,50,437","1,75,377",25.0 %
281,Mandla Jabalpur South,100,GEN,Madhya Pradesh [1947 - 1999],Govind Das Maheshwari,Indian National Congress,"6,86,330","5,93,342",43.2 %
282,Mandla Jabalpur South,100,GEN,Madhya Pradesh [1947 - 1999],Mangroo,Indian National Congress,"6,86,330","5,93,342",43.2 %
283,Mandsaur,329,GEN,Madhya Bharat,Kailash Nath Katju,Indian National Congress,"3,71,375","1,40,861",37.9 %
284,Mandya,337,GEN,Mysore,M. K. Sivananjappa,Indian National Congress,"3,60,464","2,12,015",58.8 %
285,Masulipatnam,123,GEN,Madras,Sanka Butehikottaiah,Communist Party Of India,"3,32,940","2,53,728",76.2 %
286,Mathura District (WEST),228,GEN,Uttar Pradesh [1947 - 1999],Krishna Chandra,Indian National Congress,"3,76,706","1,82,335",48.4 %
287,Mayuram,158,GEN,Madras,K. Ananda Nambiar,Communist Party Of India,"7,30,234","8,83,765",60.5 %
288,Mayuram,158,GEN,Madras,V. Veeraswami,Independent,"7,30,234","8,83,765",60.5 %
289,Mayurbhanj,185,ST,Orissa,Ramchandra Majhi,Indian National Congress,"3,76,957","1,08,238",28.7 %
290,Medak,319,GEN,Hyderabad,Jaisoorya,Peoples Democratic Front,"3,60,324","1,97,637",54.9 %
291,Meenachil,376,GEN,Travancore Cochin,P. T. Chacko,Indian National Congress,"3,55,235","2,67,829",75.4 %
292,Meerut District (NORTH EAST),223,GEN,Uttar Pradesh [1947 - 1999],Shah Nawaz Khan,Indian National Congress,"3,94,599","2,09,089",53.0 %
293,Meerut District (SOUTH),222,GEN,Uttar Pradesh [1947 - 1999],Krishna Chandra Sharma,Indian National Congress,"3,74,338","1,85,764",49.6 %
294,Meerut District (WEST),221,GEN,Uttar Pradesh [1947 - 1999],Khushi Ram Sharma,Indian National Congress,"3,57,437","2,05,243",57.4 %
295,Mehsana East,58,GEN,Bombay,Parekh Shantilal Girdharlal,Indian National Congress,"3,66,111","2,02,822",55.4 %
296,Mehsana West,59,GEN,Bombay,Kilachand Tulshidas Kilachand,Independent,"3,80,505","2,25,034",59.1 %
297,Midnapore Jhargram,284,GEN,West Bengal,Bandopadhyaya Durga Charan,All India Bhartiya Jan Sangh,"7,42,739","5,69,207",38.3 %
298,Midnapore Jhargram,284,GEN,West Bengal,Tudu Bharat Lal,Indian National Congress,"7,42,739","5,69,207",38.3 %
299,Mirzapur District Cum Banaras District (WEST),256,GEN,Uttar Pradesh [1947 - 1999],Rup Narain,Indian National Congress,"7,20,697","5,17,177",35.9 %
300,Mirzapur District Cum Banaras District (WEST),256,GEN,Uttar Pradesh [1947 - 1999],J. N. Wilson,Indian National Congress,"7,20,697","5,17,177",35.9 %
301,Mohindergarh,342,GEN,Patiala And East Punj,Hira Singh,Indian National Congress,"3,33,436","1,80,559",54.2 %
302,Monghyr North East,39,GEN,Bihar [1947 - 1999],Suresh Chandra Mishra,Socialist Party,"2,71,581","1,46,688",54.0 %
303,Monghyr North West,38,GEN,Bihar [1947 - 1999],Mathura Prasad Misra,Indian National Congress,"2,16,737","1,15,332",53.2 %
304,Monghyr Sadar Cum Jamui,37,GEN,Bihar [1947 - 1999],Banarsi Pd. Sinha,Indian National Congress,"5,34,168","5,18,714",48.6 %
305,Monghyr Sadar Cum Jamui,37,GEN,Bihar [1947 - 1999],Nayan Tara Das,Indian National Congress,"5,34,168","5,18,714",48.6 %
306,Moradabad District (CENTRAL),216,GEN,Uttar Pradesh [1947 - 1999],Hifzul Rehman,Indian National Congress,"3,87,330","1,63,085",42.1 %
307,Moradabad District (WEST),215,GEN,Uttar Pradesh [1947 - 1999],Ram Saran,Indian National Congress,"3,67,788","1,56,871",42.7 %
308,Morena Bhind,332,GEN,Madhya Bharat,Radha Charan,Indian National Congress,"7,43,114","4,62,963",31.2 %
309,Morena Bhind,332,GEN,Madhya Bharat,Suraj Prasad Alias Surya Prasad,Indian National Congress,"7,43,114","4,62,963",31.2 %
310,Murshidabad,281,GEN,West Bengal,Muhammed Khuda Bukhsh,Indian National Congress,"3,80,477","1,86,684",49.1 %
311,Muzafarpur East,30,GEN,Bihar [1947 - 1999],Awadeshwar Pd. Sinha,Indian National Congress,"2,98,268","1,39,632",46.8 %
312,Muzaffarnagar District (SOUTH),220,GEN,Uttar Pradesh [1947 - 1999],Tripathi Hira Ballabh,Indian National Congress,"3,75,540","1,99,562",53.1 %
313,Muzaffarpur Central,29,GEN,Bihar [1947 - 1999],Shyam Nandan Sahay,Indian National Congress,"3,32,006","1,41,330",42.6 %
314,Muzaffarpur Cum Darbhanga,31,GEN,Bihar [1947 - 1999],Rajeshwar Patel,Indian National Congress,"7,16,634","3,18,538",44.5 %
315,Muzaffarpur Cum Darbhanga,31,GEN,Bihar [1947 - 1999],Rameshwar Sahu,Indian National Congress,"7,16,634",RU,NA
316,Muzaffarpur North East,28,GEN,Bihar [1947 - 1999],Dig Vijoy Narayan Singh,Indian National Congress,"3,29,849","1,54,884",47.0 %
317,Muzaffarpur North West,27,GEN,Bihar [1947 - 1999],Chandeswar Narain Prasad Sinha,Indian National Congress,"2,93,890","1,34,435",45.7 %
318,Mysore,338,GEN,Mysore,N. Rachiah,Indian National Congress,"7,28,247","7,12,318",48.9 %
319,Mysore,338,GEN,Mysore,M. S. Gurupadaswamy,Kisan Mazdoor Praja Party,"7,28,247","7,12,318",48.9 %
320,Nabadwip,294,GEN,West Bengal,Lakshmi Kanta Maitra,Indian National Congress,"3,81,812","1,59,025",41.7 %
321,Nagaur Pali,354,GEN,Rajasthan,Gajadhar,Independent,"3,83,209","2,00,411",52.3 %
322,Nagercoil,370,GEN,Travancore Cochin,A. Nesamony,Travancore Tamil Nad Congress Party,"3,43,195","2,27,904",66.4 %
323,Nagpur,108,GEN,Madhya Pradesh [1947 - 1999],Anusayabai Purushottam Kale,Indian National Congress,"3,52,870","2,10,078",59.5 %
324,Naini Tal Distt Cum Almora Distt (SOUTH WEST) CUM BAREILLY DISTT (NORTH),212,GEN,Uttar Pradesh [1947 - 1999],C. D. Pande,Indian National Congress,"3,41,976","1,29,142",37.8 %
325,Nalgonda,323,GEN,Hyderabad,Ravi Narayan Reddy,Peoples Democratic Front,"7,29,504","8,07,033",55.3 %
326,Nalgonda,323,GEN,Hyderabad,Sukam Atchalu,Peoples Democratic Front,"7,29,504","8,07,033",55.3 %
327,Nanded,316,GEN,Hyderabad,Shanker Rao Srinivas Rao,Indian National Congress,"7,10,146","4,44,504",31.3 %
328,Nanded,316,GEN,Hyderabad,Deo Rao Namdeo Rao,Indian National Congress,"7,10,146","4,44,504",31.3 %
329,Nandyal,131,GEN,Madras,Seshagiri Rao,Independent,"3,80,100","2,44,765",64.4 %
330,Narasaraopet,128,GEN,Madras,Chapalamadugu Ramiah Chowdry,Independent,"3,66,257","2,16,472",59.1 %
331,Nasik Central,72,GEN,Bombay,Deshpande Govind Hari,Indian National Congress,"3,85,868","2,05,175",53.2 %
332,Nawan Shahr,201,GEN,Punjab,Baldev Singh,Indian National Congress,"3,98,321","2,50,375",62.9 %
333,Nellore,130,GEN,Madras,Bezwada Ramachandra Reddy,Independent,"3,47,698","2,07,004",59.5 %
334,New Delhi,387,GEN,Delhi,Suchetia Kripalani,Kisan Mazdoor Praja Party,"1,82,293","1,02,175",56.1 %
335,Nimar,103,GEN,Madhya Pradesh [1947 - 1999],Tiwari Babulal Surajbhan,Indian National Congress,"3,87,579","1,75,023",45.2 %
336,Nimar,324,GEN,Madhya Bharat,Bajinath Mahodaya,Indian National Congress,"3,75,327","1,27,499",34.0 %
337,Nizamabad,318,GEN,Hyderabad,Harish Chandra Heda,Indian National Congress,"3,35,863","1,60,995",47.9 %
338,North Bengal,277,GEN,West Bengal,Upendra Nath Barman,Indian National Congress,"9,31,845","8,62,056",30.8 %
339,North Bengal,277,GEN,West Bengal,Birendra Nath Katham,Indian National Congress,"9,31,845","8,62,056",30.8 %
340,North Bengal,277,GEN,West Bengal,Amiya Kanta Basu,Indian National Congress,"9,31,845","8,62,056",30.8 %
341,North Satara,75,GEN,Bombay,Altekar Ganesh Sadashiv,Indian National Congress,"3,59,731","1,98,739",55.3 %
342,Nowgong,7,GEN,Assam,"Barooah, Dev Kanta",Indian National Congress,"3,42,855","1,73,832",50.7 %
343,Nowrangpur,177,GEN,Orissa,Ponnada Subarao,All India Gantantra Parishad,"4,02,950","1,43,222",35.5 %
344,Ongole,129,GEN,Madras,M. Nanadass,Independent,"7,29,786","7,23,926",49.6 %
345,Ongole,129,GEN,Madras,P. Venkataraghaviah,Independent,"7,29,786","7,23,926",49.6 %
346,Osmanabad,311,GEN,Hyderabad,Diwan Raghevendra Srinivas Rao,Indian National Congress,"3,73,951","1,94,043",51.9 %
347,Outer Delhi,388,GEN,Delhi,C. Krisnan Nair,Indian National Congress,"3,87,853","4,52,135",58.3 %
348,Outer Delhi,388,GEN,Delhi,Naval Prabhakar,Indian National Congress,"3,87,853","4,52,135",58.3 %
349,Outer Manipur,395,GEN,Manipur,Rishang,Socialist Party,"1,48,935","77,561",52.1 %
350,Palamau Cum Hazaribagh Cum Ranchi,51,GEN,Bihar [1947 - 1999],Jithan Kherwar,Indian National Congress,"6,49,178","4,63,405",35.7 %
351,Palamau Cum Hazaribagh Cum Ranchi,51,GEN,Bihar [1947 - 1999],Gajendra Prasad Sinha,Indian National Congress,"6,49,178","4,63,405",35.7 %
352,Pancchmahals Cum Baroda East,57,GEN,Bombay,Gandhi Maneklal Magan,Indian National Congress,"7,41,930","3,18,085",42.9 %
353,Pancchmahals Cum Baroda East,57,GEN,Bombay,Parmar Rupajee Bhavji,Indian National Congress,"7,41,930",RU,NA
354,Parbhani,315,GEN,Hyderabad,Narayan Rao Waghmare,Peasants & Workers Party,"3,70,348","1,40,434",37.9 %
355,Parvathipuram,117,GEN,Madras,N. Rama Seshiah,Independent,"3,68,440","1,98,166",53.8 %
356,Pataliputra,11,GEN,Bihar [1947 - 1999],Sarangdhar Singh,Indian National Congress,"2,88,982","1,33,645",46.3 %
357,Pathapatnam,115,GEN,Madras,V. V. Giri,Indian National Congress,"3,38,485","1,67,679",49.5 %
358,Patiala,344,GEN,Patiala And East Punj,Ram Partap,Indian National Congress,"3,67,485","2,19,562",59.8 %
359,Patna Central,12,GEN,Bihar [1947 - 1999],Kailash Pati Sinha,Indian National Congress,"2,36,799","1,31,506",55.5 %
360,Patna Cum Shahabad,14,GEN,Bihar [1947 - 1999],Balram Bhagat,Indian National Congress,"2,87,272","1,36,851",47.6 %
361,Patna East,13,GEN,Bihar [1947 - 1999],Tarkeshwari Devi,Indian National Congress,"2,50,896","1,32,716",52.9 %
362,Penukonda,135,GEN,Madras,K. S. Raghavachari,Kisan Mazdoor Praja Party,"3,52,629","2,17,626",61.7 %
363,Perambalur,154,GEN,Madras,V. Boorarangaswami Pandayachi,The Tamil Nad Toilers Party,"3,59,221","2,25,858",62.9 %
364,Periyakulam,168,GEN,Madras,A/ Sakthivadivel Gounder,Indian National Congress,"3,70,312","2,42,777",65.6 %
365,Pilibhit Distt Cum Bareilly Distt (EAST),214,GEN,Uttar Pradesh [1947 - 1999],Mukund Lal Agarwala,Indian National Congress,"3,28,961","1,28,991",39.2 %
366,Pollachi,151,GEN,Madras,Damodaram,Indian National Congress,"3,68,310","2,10,359",57.1 %
367,Ponnani,176,GEN,Madras,Kelappan Koyhapali,Kisan Mazdoor Praja Party,"7,39,656","7,74,286",52.3 %
368,Ponnani,176,GEN,Madras,Eacheran Iyyani,Indian National Congress,"7,39,656","7,74,286",52.3 %
369,Poona Central,73,GEN,Bombay,Gadgil Narhar Vishnu,Indian National Congress,"3,88,404","1,92,406",49.5 %
370,Poona South,74,GEN,Bombay,Maydeo Indira Anant,Indian National Congress,"3,78,892","1,79,289",47.3 %
371,Pratapgarh Distt (EAST),249,GEN,Uttar Pradesh [1947 - 1999],Munishwar Dutt Upadhyaya,Indian National Congress,"3,62,654","1,22,001",33.6 %
372,Pratapgarh Distt (WEST) CUM RAE BARELI DISTT (EAST),248,GEN,Uttar Pradesh [1947 - 1999],Feroze Gandhi,Indian National Congress,"6,96,634","4,81,131",34.5 %
373,Pratapgarh Distt (WEST) CUM RAE BARELI DISTT (EAST),248,GEN,Uttar Pradesh [1947 - 1999],Baij Nath Kureel,Indian National Congress,"6,96,634","4,81,131",34.5 %
374,Pudukkottai,153,GEN,Madras,K. M. Vallatharsu,Kisan Mazdoor Praja Party,"3,74,269","1,91,697",51.2 %
375,Puri,189,GEN,Orissa,Lokanath Misra,Indian National Congress,"3,87,950","1,55,622",40.1 %
376,Purnea Central,44,GEN,Bihar [1947 - 1999],Phani Gopal Sen Gupta,Indian National Congress,"3,57,038","1,38,412",38.8 %
377,Purnea Cum Santal Parganas,45,GEN,Bihar [1947 - 1999],Bhagat Jha (AZAD),Indian National Congress,"7,52,822","6,59,217",43.8 %
378,Purnea Cum Santal Parganas,45,GEN,Bihar [1947 - 1999],Jughar Soren Paul,Jharkhand Party,"7,52,822","6,59,217",43.8 %
379,Purnea North East,43,GEN,Bihar [1947 - 1999],Mohammad Islamuddin,Indian National Congress,"3,69,596","1,20,467",32.6 %
380,Quilon Cum Mavelikara,373,GEN,Travancore Cochin,Sreekantan Nair,Revolutionary Socialist Party,"7,05,598","10,28,391",72.9 %
381,Quilon Cum Mavelikara,373,GEN,Travancore Cochin,R. Velayudhan,Independent,"7,05,598","10,28,391",72.9 %
382,Raisen,384,GEN,Bhopal,Chatrunarain Malvia,Indian National Congress,"1,88,498","74,501",39.5 %
383,Rajahmundry,121,GEN,Madras,Kaneti Mohana Rao,Communist Party Of India,"7,41,484","9,00,175",60.7 %
384,Rajahmundry,121,GEN,Madras,Nalla Reddi Naidu,Socialist Party,"7,41,484","9,00,175",60.7 %
385,Ramanathapuram,165,GEN,Madras,V. Vr. N. Ar. Nagappa Chettiar,Indian National Congress,"3,59,891","1,93,589",53.8 %
386,Rampur District Cum Bareilly District (WEST),217,GEN,Uttar Pradesh [1947 - 1999],Abul Kalam Azad,Indian National Congress,"3,76,635","1,81,607",48.2 %
387,Ranchi North East,49,GEN,Bihar [1947 - 1999],Abdul Ibrahim,Indian National Congress,"3,44,542","1,33,505",38.8 %
388,Ranchi West,50,ST,Bihar [1947 - 1999],Jaipal Singh,Jharkhand Party,"3,67,835","2,28,856",62.2 %
389,Ratnagiri North,82,GEN,Bombay,Bhosale Jagannathrao Krishnarao,Indian National Congress,"3,74,668","1,51,181",40.4 %
390,Ratnagiri South,83,GEN,Bombay,Joshi Moreshwar Dinkar,Indian National Congress,"3,72,880","1,44,239",38.7 %
391,Rayagada Phulbani,178,ST,Orissa,T. Sangana,Indian National Congress,"3,93,599",RU,NA
392,Rewa,399,GEN,Vindhya Pradesh,Rajbhan Singh,Indian National Congress,"2,84,152","97,630",34.4 %
393,Rohtak,195,GEN,Punjab,Ranbir Singh,Indian National Congress,"3,63,546","2,53,188",69.6 %
394,Sabarkantha,56,GEN,Bombay,Nanda Gulzarilal Bulaqiram,Indian National Congress,"3,72,222","2,01,468",54.1 %
395,Sagar,102,GEN,Madhya Pradesh [1947 - 1999],Sodhia Khubchand Daryao Singh,Indian National Congress,"3,96,406","1,57,374",39.7 %
396,Saharanpur Distt (WEST) CUM MUZAFFER NAGAR DISTT NORTH),219,GEN,Uttar Pradesh [1947 - 1999],Sunder Lal,Indian National Congress,"7,17,483","7,11,289",49.6 %
397,Saharanpur Distt (WEST) CUM MUZAFFER NAGAR DISTT NORTH),219,GEN,Uttar Pradesh [1947 - 1999],Ajit Prashad,Indian National Congress,"7,17,483","7,11,289",49.6 %
398,Salem,147,GEN,Madras,S. V. Ramaswami,Indian National Congress,"3,66,410","2,03,792",55.6 %
399,Samastipur East,32,GEN,Bihar [1947 - 1999],Satya Narain Sinha,Indian National Congress,"3,39,720","1,22,946",36.2 %
400,Sambalpur,181,GEN,Orissa,Natabar Pandey,All India Gantantra Parishad,"3,90,596","1,28,485",32.9 %
401,Sangrur,343,GEN,Patiala And East Punj,Ranjit Singh,Independent,"3,49,335","2,11,718",60.6 %
402,Sankaranainarkoil,163,GEN,Madras,M. Sankarapandian,Indian National Congress,"3,73,989","2,46,936",66.0 %
403,Santal Parganas Cum Hazaribaug,46,GEN,Bihar [1947 - 1999],Ram Raj Jajware,Indian National Congress,"7,20,478","6,34,118",44.0 %
404,Santal Parganas Cum Hazaribaug,46,GEN,Bihar [1947 - 1999],Lal Hembrom,Indian National Congress,"7,20,478","6,34,118",44.0 %
405,Santipur,295,GEN,West Bengal,Arun Chandra Guha,Indian National Congress,"3,71,454","1,60,938",43.3 %
406,Saran Central,21,GEN,Bihar [1947 - 1999],Mahendra Nath Singh,Indian National Congress,"3,58,504","1,21,823",34.0 %
407,Saran Cum Champaran,24,GEN,Bihar [1947 - 1999],Bibhuti Missir,Indian National Congress,"6,94,144","4,38,883",31.6 %
408,Saran Cum Champaran,24,GEN,Bihar [1947 - 1999],Bhola Raut,Indian National Congress,"6,94,144","4,38,883",31.6 %
409,Saran East,22,GEN,Bihar [1947 - 1999],Satya Narain Singh,Indian National Congress,"3,07,256","1,04,790",34.1 %
410,Saran North,20,GEN,Bihar [1947 - 1999],Jhulan Sinha,Indian National Congress,"3,70,681","1,11,627",30.1 %
411,Saran South,23,GEN,Bihar [1947 - 1999],Dwarka Nath Tiwari,Indian National Congress,"2,76,217","1,17,340",42.5 %
412,Satna,400,GEN,Vindhya Pradesh,Upadhiya S. D.,Indian National Congress,"2,93,454","1,01,641",34.6 %
413,Sehore,383,GEN,Bhopal,Saeed Ullah Razmi,Indian National Congress,"2,31,472","94,956",41.0 %
414,Serampore,290,GEN,West Bengal,Tusar Kanti Chattopadhyaya,Communist Party Of India,"3,81,914","1,90,924",50.0 %
415,Shahabad North West,19,GEN,Bihar [1947 - 1999],Kamal Singh,Independent,"3,64,184","1,50,612",41.4 %
416,Shahabad South,18,GEN,Bihar [1947 - 1999],Ram Subhag Singh,Indian National Congress,"6,97,896","5,84,689",41.9 %
