#,PC Name,No,Type,State,Winning Candidate,Party,Electors,Votes,Turnout,Margin,Margin %
1,A And N Islands,501,GEN,Andaman & Nicobar Islands,K .R. Ganesh,Indian National Congress,"63,122","44,531",70.6 %,"17,333",38.9%
185,Ghosi,415,GEN,Uttar Pradesh [1947 - 1999],Jharkhande,Communist Party Of India,"5,67,904","2,66,488",46.9 %,"84,955",31.9%
186,Giridih,100,GEN,Bihar [1947 - 1999],Chapalendu Bhattacharyya,Indian National Congress,"5,30,962","1,80,711",34.0 %,"4,154",2.3%
187,Gobichettipalayam,353,GEN,Tamil Nadu,P. A. Saminathan,Dravida Munetra Kazhagam,"5,65,827","3,89,907",68.9 %,"60,492",15.5%
188,Godhra,124,GEN,Gujarat,Piloo Homi Mody,Swatantra,"4,52,598","2,06,136",45.6 %,"13,895",6.7%
189,Gonda,404,GEN,Uttar Pradesh [1947 - 1999],Anand Singh,Indian National Congress (ORGANISATION),"4,91,813","2,15,971",43.9 %,631,0.3%
190,Gopalganj,59,GEN,Bihar [1947 - 1999],Dwarika Nath Tiwary,Indian National Congress,"5,62,299","3,13,957",55.8 %,"80,546",25.7%
191,Gorakhpur,409,GEN,Uttar Pradesh [1947 - 1999],Narsingh Narian,Indian National Congress,"4,93,030","2,61,439",53.0 %,"37,578",14.4%
192,Gudivada,12,GEN,Andhra Pradesh,Ankinedu Maganti,Indian National Congress,"5,81,062","4,00,773",69.0 %,"2,10,434",52.5%
193,Gulbarga,250,GEN,Mysore,Dharamao Sharanappa Afzalpurkar,Indian National Congress,"5,23,684","2,62,905",50.2 %,"95,574",36.4%
194,Guna,170,GEN,Madhya Pradesh [1947 - 1999],Madhav Rao Scindia,Bhartiya Jan Sangh,"5,70,743","3,23,325",56.7 %,"1,41,090",43.6%
195,Guntur,16,GEN,Andhra Pradesh,Kotha Raghuramaiah,Indian National Congress,"6,29,787","4,24,053",67.3 %,"1,91,018",45.0%
196,Gurdaspur,301,GEN,Punjab,Prabodh Chandra,Indian National Congress,"5,38,901","3,01,337",55.9 %,"93,847",31.1%
197,Gurgaon,138,GEN,Haryana,Tayyab Hussain,Indian National Congress,"5,84,957","3,98,638",68.2 %,"67,942",17.0%
198,Gwalior,169,GEN,Madhya Pradesh [1947 - 1999],Atal Bihari Vajpayee,Bhartiya Jan Sangh,"5,68,108","3,31,716",58.4 %,"70,310",21.2%
199,Hajipur,64,GEN,Bihar [1947 - 1999],Digvijay Narain Singh,Indian National Congress (ORGANISATION),"6,22,672","4,01,687",64.5 %,"7,084",1.8%
200,Hamirpur,431,GEN,Uttar Pradesh [1947 - 1999],Swami Brahmanand Ji,Indian National Congress,"5,14,662","2,79,854",54.4 %,"55,660",19.9%
201,Hamirpur,500,GEN,Himachal Pradesh,Narain Chand,Indian National Congress,"4,28,989","2,04,222",47.6 %,"1,21,783",59.6%
202,Hapur,450,GEN,Uttar Pradesh [1947 - 1999],B. P. Maurya,Indian National Congress,"5,78,138","3,76,612",65.1 %,"1,08,743",28.9%
203,Hardoi,389,SC,Uttar Pradesh [1947 - 1999],Kinder Lal,Indian National Congress,"5,30,174","2,01,783",38.1 %,"33,024",16.4%
204,Hassan,266,GEN,Mysore,Nuggehalli Shivappa,Indian National Congress,"5,09,214","2,68,070",52.6 %,"75,345",28.1%
205,Hathras,446,SC,Uttar Pradesh [1947 - 1999],Chandra Pal Shailani,Indian National Congress,"5,48,458","2,40,087",43.8 %,"61,833",25.8%
206,Hatkanangale,247,GEN,Maharashtra,Dattatraya Baburao Kadam,Indian National Congress,"5,18,707","3,82,895",73.8 %,"84,991",22.2%
207,Hazaribagh,102,GEN,Bihar [1947 - 1999],Damodar Pandey,Indian National Congress,"5,75,155","1,78,226",31.0 %,"10,988",6.2%
208,Hindaun,318,SC,Rajasthan,Jagannath Prasad,Indian National Congress,"5,90,800","2,74,855",46.5 %,"1,31,499",47.8%
209,Hindupur,24,GEN,Andhra Pradesh,P. Bayapa Reddy,Indian National Congress,"5,30,692","2,91,271",54.9 %,"1,24,010",42.6%
210,Hissar,140,GEN,Haryana,Mani Ram Godara,Indian National Congress,"5,14,678","3,21,994",62.6 %,"83,694",26.0%
211,Hooghly,481,GEN,West Bengal,Bijoy Krishna Modak,Communist Party Of India (MARXIST),"6,30,767","4,41,659",70.0 %,"31,471",7.1%
212,Hoshangabad,193,GEN,Madhya Pradesh [1947 - 1999],Chaudhary Nitiraj Singh Daulat Singh,Indian National Congress,"4,79,175","2,09,776",43.8 %,"57,579",27.4%
213,Hoshiarpur,302,GEN,Punjab,Darbara Singh,Indian National Congress,"5,24,148","3,27,544",62.5 %,"1,00,835",30.8%
214,Hoskote,258,GEN,Mysore,M. V. Krishnappa,Indian National Congress,"5,75,814","3,20,722",55.7 %,"1,86,634",58.2%
215,Howrah,478,GEN,West Bengal,Samar Mukherjee,Communist Party Of India (MARXIST),"5,99,034","3,30,787",55.2 %,"25,042",7.6%
216,Hyderabad,30,GEN,Andhra Pradesh,G. S. Melkote,Telangana Praja Samithi,"4,91,227","2,42,830",49.4 %,"49,412",20.3%
217,Indore,198,GEN,Madhya Pradesh [1947 - 1999],Prakash Chandra Sethi,Indian National Congress,"5,40,530","3,12,416",57.8 %,"45,698",14.6%
218,Inner Manipur,514,GEN,Manipur,N. Tomsi Singh,Indian National Congress,"2,85,986","1,42,405",49.8 %,"2,033",1.4%
219,Jabalpur,188,GEN,Madhya Pradesh [1947 - 1999],Govind Das,Indian National Congress,"5,18,961","2,07,959",40.1 %,"92,121",44.3%
220,Jainagar,68,GEN,Bihar [1947 - 1999],Bhogendra Jha,Communist Party Of India,"6,26,757","3,44,597",55.0 %,"30,930",9.0%
221,Jaipur,314,GEN,Rajasthan,Gyatri Devi,Swatantra,"5,91,100","3,28,143",55.5 %,"50,644",15.4%
222,Jajpur,280,SC,Orissa,Anandi Charan Das,Indian National Congress,"5,94,393","3,08,875",52.0 %,"76,138",24.7%
223,Jalaun,433,SC,Uttar Pradesh [1947 - 1999],Chowdhary Ram Sewak,Indian National Congress,"5,30,682","3,02,530",57.0 %,"25,888",8.6%
224,Jalgaon,218,GEN,Maharashtra,Krishnarao Madhavrao Patil,Indian National Congress,"5,29,930","3,12,260",58.9 %,"1,27,969",41.0%
225,Jalna,233,GEN,Maharashtra,Baburao Janglu Kale,Indian National Congress,"5,31,700","2,60,630",49.0 %,"1,26,576",48.6%
226,Jalore,329,GEN,Rajasthan,Narendra Kumar Sanghi,Indian National Congress,"5,69,889","2,69,275",47.3 %,"41,017",15.2%
227,Jalpaiguri,458,ST,West Bengal,Tuna Oraon,Indian National Congress,"4,88,587","3,06,173",62.7 %,"52,967",17.3%
228,Jammu,147,GEN,Jammu & Kashmir,Inderjit Malhotra,Indian National Congress,"4,83,472","2,92,392",60.5 %,"84,796",29.0%
229,Jamnagar,112,GEN,Gujarat,Daulatsinhji Pratapsnji Jadeja,Indian National Congress,"4,56,276","2,24,567",49.2 %,"83,944",37.4%
230,Jamshedpur,104,GEN,Bihar [1947 - 1999],Sardar Swaran Singh,Indian National Congress,"6,02,867","1,80,720",30.0 %,206,0.1%
231,Jamui,85,SC,Bihar [1947 - 1999],Bhola Manjhi,Communist Party Of India,"6,54,630","3,39,077",51.8 %,"41,129",12.1%
232,Jangipur,463,GEN,West Bengal,Lutfal Haque,Indian National Congress,"5,56,704","3,17,319",57.0 %,"49,356",15.6%
233,Janjgir,178,SC,Madhya Pradesh [1947 - 1999],Minimata Agamdas,Indian National Congress,"5,19,962","1,46,113",28.1 %,"39,718",27.2%
234,Jaunpur,419,GEN,Uttar Pradesh [1947 - 1999],Rajdeo Singh,Indian National Congress,"5,44,769","2,74,070",50.3 %,"1,03,592",37.8%
235,Jehanabad,96,GEN,Bihar [1947 - 1999],Chandra Shekhar Sinha,Communist Party Of India,"6,08,878","3,94,254",64.8 %,"22,418",5.7%
236,Jhabua,202,ST,Madhya Pradesh [1947 - 1999],Bhagirath Bhanwar,Samyukta Socialist Party,"4,98,047","1,96,183",39.4 %,"26,593",13.6%
237,Jhajjar,137,GEN,Haryana,Sher Singh,Indian National Congress,"5,51,818","3,70,363",67.1 %,"46,615",12.6%
238,Jhalawar,323,GEN,Rajasthan,Brij Raj Singh,Bhartiya Jan Sangh,"5,08,045","2,97,520",58.6 %,"90,945",30.6%
239,Jhansi,432,GEN,Uttar Pradesh [1947 - 1999],Govind Dass Richharia,Indian National Congress,"5,36,539","2,77,973",51.8 %,"74,571",26.8%
240,Jhargram,487,ST,West Bengal,Amiya Kumar Kisku,Indian National Congress,"5,28,392","3,59,606",68.1 %,"14,693",4.1%
241,Jhun Jhunu,312,GEN,Rajasthan,Shivnath Singh,Indian National Congress,"6,04,320","3,80,835",63.0 %,"98,949",26.0%
242,Jodhpur,331,GEN,Rajasthan,Krishna Kumari,Independent,"5,97,682","3,73,589",62.5 %,"21,497",5.8%
243,Jorhat,53,GEN,Assam,Tarun Gogoi,Indian National Congress,"4,25,987","1,94,353",45.6 %,"71,010",36.5%
244,Joynagar,470,SC,West Bengal,Sakti Kumar Sarkar,Indian National Congress,"5,61,119","3,93,696",70.2 %,"74,236",18.9%
245,Jullundur,303,GEN,Punjab,Swaran Singh,Indian National Congress,"5,09,737","3,23,374",63.4 %,"93,469",28.9%
246,Junagadh,113,GEN,Gujarat,Nanjibhai Ravjibhai  Vekaria,Indian National Congress,"4,44,069","2,09,908",47.3 %,"54,530",26.0%
247,Kaira,125,GEN,Gujarat,Dharmasinh Dadubhai Desai,Indian National Congress (ORGANISATION),"4,79,256","3,06,863",64.0 %,"34,451",11.2%
248,Kairana,454,GEN,Uttar Pradesh [1947 - 1999],Shafquat Jang,Indian National Congress,"5,60,709","3,17,198",56.6 %,"72,766",22.9%
249,Kaisarganj,401,GEN,Uttar Pradesh [1947 - 1999],Shakuntala Nayar,Bhartiya Jan Sangh,"5,15,726","1,90,431",36.9 %,"2,598",1.4%
250,Kaithal,135,GEN,Haryana,Gulzari Lal Nanda,Indian National Congress,"5,19,031","3,51,635",67.8 %,"25,538",7.3%
251,Kakinada,7,GEN,Andhra Pradesh,M. S. Sanjeevi Rao,Indian National Congress,"5,66,461","3,66,066",64.6 %,"2,92,926",80.0%
252,Kalahandi,289,GEN,Orissa,Pratap Keshari Deo,Swatantra,"4,36,752","1,69,068",38.7 %,"65,874",39.0%
253,Kaliabor,52,GEN,Assam,Bedabrata Barua,Indian National Congress,"4,30,809","2,05,287",47.7 %,"1,00,688",49.0%
254,Kallakurichi,344,GEN,Tamil Nadu,M. Devekan,Dravida Munetra Kazhagam,"5,58,064","4,04,015",72.4 %,"21,976",5.4%
255,Kanakapura,260,GEN,Mysore,C. K. Jaffer Sharief,Indian National Congress,"4,84,298","3,13,659",64.8 %,"1,86,519",59.5%
256,Kanara,269,GEN,Mysore,Naik Balakrishna Venkanna,Indian National Congress,"4,93,908","2,47,689",50.2 %,"96,779",39.1%
257,Kangra,499,GEN,Himachal Pradesh,Vikram Chand,Indian National Congress,"4,09,838","1,74,472",42.6 %,"70,888",40.6%
258,Kanker,182,ST,Madhya Pradesh [1947 - 1999],Arvind Vishramsingh,Indian National Congress,"4,83,374","2,16,958",44.9 %,"7,443",3.4%
259,Kannauj,438,GEN,Uttar Pradesh [1947 - 1999],S. N. Misra,Indian National Congress,"5,68,938","2,59,651",45.6 %,"43,115",16.6%
260,Kanpur,436,GEN,Uttar Pradesh [1947 - 1999],S. M. Banerjee,Independent,"5,06,045","2,47,530",48.9 %,"89,199",36.0%
261,Karad,245,GEN,Maharashtra,Dajisaheb Ramrao Chavan,Indian National Congress,"5,03,710","3,14,605",62.5 %,"2,43,463",77.4%
262,Karimganj,43,SC,Assam,Nihar Ranjan Laskar,Indian National Congress,"4,97,720","2,10,476",42.3 %,"1,21,746",57.8%
263,Karimnagar,37,GEN,Andhra Pradesh,M. Satyanarayan Rao,Telangana Praja Samithi,"5,48,849","2,63,288",48.0 %,"10,021",3.8%
264,Karnal,134,GEN,Haryana,Madho Ram,Indian National Congress,"5,04,480","3,27,638",65.0 %,"35,261",10.8%
265,Karol Bagh,510,SC,Delhi,Sohan Lal,Indian National Congress,"2,54,558","1,63,162",64.1 %,"61,180",37.5%
266,Karur,357,GEN,Tamil Nadu,Gopal,Indian National Congress,"5,93,409","4,22,396",71.2 %,"73,293",17.4%
267,Kasargod,148,GEN,Kerala,Ramachandran Kadannappalli,Indian National Congress,"5,79,127","4,15,761",71.8 %,"28,404",6.8%
268,Kasganj,441,GEN,Uttar Pradesh [1947 - 1999],Maha Deepak Singh,Bhartiya Jan Sangh,"5,57,818","2,88,871",51.8 %,"15,976",5.5%
269,Katihar,78,GEN,Bihar [1947 - 1999],Gyaneshwar Prasad Yadav,Bhartiya Jan Sangh,"5,63,718","2,86,377",50.8 %,"12,889",4.5%
270,Katwa,494,GEN,West Bengal,Saroj Mukherjee,Communist Party Of India (MARXIST),"5,30,377","3,82,733",72.2 %,"68,487",17.9%
271,Kavali,18,GEN,Andhra Pradesh,Puli Venkata Reddy,Indian National Congress,"5,96,790","3,35,095",56.2 %,"1,31,114",39.1%
272,Kendrapara,281,GEN,Orissa,Surendra Mohanty,Utkal Congress,"6,12,635","3,70,982",60.6 %,"2,973",0.8%
273,Keonjhar,294,ST,Orissa,Kumar Majhi,Indian National Congress,"4,81,496","1,54,501",32.1 %,"19,512",12.6%
274,Kesaria,63,GEN,Bihar [1947 - 1999],Kamla Mishra Madhukar,Communist Party Of India,"5,86,266","2,47,546",42.2 %,"50,287",20.3%
275,Khagaria,86,GEN,Bihar [1947 - 1999],Shivshankar Prasad Yadav,Samyukta Socialist Party,"6,33,193","3,52,054",55.6 %,548,0.2%
276,Khalilabad,407,GEN,Uttar Pradesh [1947 - 1999],Krishna Chandra Pandey,Indian National Congress,"5,45,491","2,75,929",50.6 %,"44,809",16.2%
277,Khamgaon,220,SC,Maharashtra,Arjun Shripat Kasture,Indian National Congress,"5,07,976","2,94,987",58.1 %,"1,80,845",61.3%
278,Khammam,39,GEN,Andhra Pradesh,T. Lakshmi Kantamma,Indian National Congress,"5,44,329","3,81,802",70.1 %,"16,461",4.3%
279,Khandwa,200,GEN,Madhya Pradesh [1947 - 1999],Gangacharan Dikshit,Indian National Congress,"5,21,637","2,96,130",56.8 %,"40,890",13.8%
280,Khargone,201,GEN,Madhya Pradesh [1947 - 1999],Ramchandra Bade,Bhartiya Jan Sangh,"4,91,606","2,80,267",57.0 %,"35,621",12.7%
281,Khed,241,GEN,Maharashtra,Anantrao Vithalrao Patil,Indian National Congress,"5,16,433","2,71,969",52.7 %,"1,45,095",53.3%
282,Kheri,385,GEN,Uttar Pradesh [1947 - 1999],Balgovind,Indian National Congress,"5,60,203","1,79,312",32.0 %,"70,625",39.4%
283,Khunti,106,ST,Bihar [1947 - 1999],Nirel Enem Horo,Independent,"4,91,621","1,71,726",34.9 %,"2,814",1.6%
284,Khurja,448,SC,Uttar Pradesh [1947 - 1999],Hari Singh,Indian National Congress,"5,66,810","2,19,661",38.8 %,"1,00,915",45.9%
285,Kishanganj,76,GEN,Bihar [1947 - 1999],Jamilur Rahman,Indian National Congress,"5,13,860","2,14,771",41.8 %,"80,914",37.7%
286,Kokrajhar,46,ST,Assam,Dharanidhar Basumatary,Indian National Congress,"4,69,738","2,74,983",58.5 %,"57,686",21.0%
287,Kolaba,206,GEN,Maharashtra,Sawant Shankar Babaji,Indian National Congress,"5,07,724","3,08,606",60.8 %,"46,199",15.0%
288,Kolar,257,SC,Mysore,G. V. Krishnan,Indian National Congress,"4,90,492","2,76,204",56.3 %,"1,94,519",70.4%
289,Kolhapur,248,GEN,Maharashtra,Rajaram Dadasaheb Nimbalkar,Indian National Congress,"4,94,379","3,21,216",65.0 %,"1,07,664",33.5%
290,Kopargaon,240,GEN,Maharashtra,Eknath Vithalrao Vikhe,Indian National Congress,"5,14,941","3,07,367",59.7 %,"69,442",22.6%
291,Koppal,252,GEN,Mysore,Sidrameshwar Swamy Bassayya,Indian National Congress,"5,56,614","2,87,499",51.7 %,"1,36,600",47.5%
292,Koraput,287,ST,Orissa,Bhagirathi Gomango,Indian National Congress,"5,27,842","1,72,916",32.8 %,"16,674",9.6%
293,Kota,322,SC,Rajasthan,Onkar Lal,Bhartiya Jan Sangh,"5,60,904","2,94,344",52.5 %,"33,251",11.3%
294,Kottayam,160,GEN,Kerala,Varkey George,Kerala Congress,"4,91,252","3,30,399",67.3 %,"26,015",7.9%
295,Kozhikode,151,GEN,Kerala,Ibrahim Sulaiman Sait,Muslim Leage,"5,95,499","3,67,454",61.7 %,"72,076",19.6%
296,Krishnagiri,345,GEN,Tamil Nadu,T. Thirthagiri Gounder,Indian National Congress,"5,49,124","3,56,423",64.9 %,"34,920",9.8%
297,Krishnanagar,466,GEN,West Bengal,Renupada Das,Communist Party Of India (MARXIST),"5,03,387","3,12,342",62.1 %,"33,631",10.8%
298,Kumbakonam,361,GEN,Tamil Nadu,Era Sezhiyan,Dravida Munetra Kazhagam,"5,72,159","4,57,883",80.0 %,"38,753",8.5%
299,Kurnool,26,GEN,Andhra Pradesh,Kodanda Rami Reddy,Indian National Congress,"5,40,978","3,17,429",58.7 %,"2,41,353",76.0%
300,Kutch,109,GEN,Gujarat,Mahipatray M. Mehta,Indian National Congress,"3,91,123","2,23,389",57.1 %,"1,979",0.9%
301,L M And A Islands,513,GEN,"Laccadive, Minicoy And Amindivi Islands",Sadanatha Mohammed Sayeed,Indian National Congress,"14,977",RU,NA,RU,NA
302,Ladakh,145,GEN,Jammu & Kashmir,Kushok Bakula,Indian National Congress,"52,654","37,521",71.3 %,"4,057",10.8%
303,Lakhimpur,54,GEN,Assam,Biswanarayan Shastri,Indian National Congress,"4,44,779","2,20,051",49.5 %,"43,712",19.9%
304,Lalganj,417,SC,Uttar Pradesh [1947 - 1999],Ram Dhan,Indian National Congress,"5,59,069","2,22,655",39.8 %,"89,646",40.3%
305,Latur,231,SC,Maharashtra,Tulshiram Dashrath Kamble,Indian National Congress,"5,75,350","2,50,242",43.5 %,"91,494",36.6%
306,Lohardaga,107,ST,Bihar [1947 - 1999],Kartik Oraon,Indian National Congress,"5,03,999","1,98,981",39.5 %,"66,486",33.4%
307,Lucknow,390,GEN,Uttar Pradesh [1947 - 1999],Sheela Kaul,Indian National Congress,"5,13,722","2,42,017",47.1 %,"1,19,201",49.3%
308,Ludhiana,305,GEN,Punjab,Devinder Singh Garcha,Indian National Congress,"5,97,432","3,72,487",62.4 %,"73,106",19.6%
309,Machhlishahr,418,GEN,Uttar Pradesh [1947 - 1999],Nageshwar Dwivedi,Indian National Congress,"5,52,443","2,35,472",42.6 %,"56,454",24.0%
310,Machilipatnam,14,GEN,Andhra Pradesh,Meduri Nageswarrao,Indian National Congress,"5,48,112","3,75,631",68.5 %,"2,04,874",54.5%
311,Madhipura,74,GEN,Bihar [1947 - 1999],Rajendra Prasad Yadav,Indian National Congress,"5,97,248","3,20,914",53.7 %,"27,909",8.7%
312,Madhubani,69,GEN,Bihar [1947 - 1999],Jagannath Mishra,Indian National Congress,"5,95,485","3,58,036",60.1 %,"87,901",24.6%
313,Madhugiri,256,GEN,Mysore,K. Mallanna,Indian National Congress,"5,39,026","3,04,314",56.5 %,"2,10,993",69.3%
314,Madras North,333,GEN,Tamil Nadu,K. Manoharan,Dravida Munetra Kazhagam,"6,91,938","4,57,154",66.1 %,"51,594",11.3%
315,Madras South,334,GEN,Tamil Nadu,Murasoli Naran,Dravida Munetra Kazhagam,"7,41,660","4,99,274",67.3 %,"20,341",4.1%
316,Madurai,356,GEN,Tamil Nadu,R. V. Swaminathan,Indian National Congress,"6,57,203","4,68,822",71.3 %,"72,359",15.4%
317,Maharajganj,62,GEN,Bihar [1947 - 1999],Ramdeo Singh,Samyukta Socialist Party,"6,03,066","2,94,836",48.9 %,"1,008",0.3%
318,Maharajganj,410,GEN,Uttar Pradesh [1947 - 1999],Sibban Lal Saxena,Independent,"4,93,201","1,97,531",40.1 %,"39,418",20.0%
319,Mahasamund,180,GEN,Madhya Pradesh [1947 - 1999],Krishna Agrawal,Indian National Congress,"5,22,393","1,80,531",34.6 %,"15,557",8.6%
320,Mahbubnagar,29,GEN,Andhra Pradesh,J. Rameshwar Rao,Telangana Praja Samithi,"5,60,682","2,75,093",49.1 %,"17,490",6.4%
321,Mahendragarh,139,GEN,Haryana,Birender Singh,Vishal Haryana,"5,27,551","3,49,098",66.2 %,"1,899",0.5%
322,Mainpuri,440,GEN,Uttar Pradesh [1947 - 1999],Maharaj Singh,Indian National Congress,"5,32,460","2,09,587",39.4 %,"69,363",33.1%
323,Malda,462,GEN,West Bengal,Dinesh Chandrajoarder,Communist Party Of India (MARXIST),"4,92,836","3,40,623",69.1 %,"33,766",9.9%
324,Malegaon,215,ST,Maharashtra,Zamru Manglu Kahandole,Indian National Congress,"5,02,086","2,80,612",55.9 %,"1,48,079",52.8%
325,Mandi,498,GEN,Himachal Pradesh,Virbhadra Singh,Indian National Congress,"4,49,572","1,64,193",36.5 %,"89,177",54.3%
326,Mandla,187,ST,Madhya Pradesh [1947 - 1999],Mangru Uikey,Indian National Congress,"4,93,013","1,22,004",24.8 %,"10,903",8.9%
327,Mandsaur,203,GEN,Madhya Pradesh [1947 - 1999],Laxminarayan Pandey,Bhartiya Jan Sangh,"5,24,764","3,16,436",60.3 %,"7,603",2.4%
328,Mandvi,131,ST,Gujarat,Amarsinhbhai Zinabhai Chaudhari,Indian National Congress,"4,56,996","2,75,590",60.3 %,"11,573",4.2%
329,Mandya,261,GEN,Mysore,S. M. Krishna,Indian National Congress,"5,49,931","3,92,751",71.4 %,"1,62,162",41.3%
330,Mangaldai,49,GEN,Assam,Dharani Dhar Das,Indian National Congress,"4,70,149","1,89,652",40.3 %,"39,573",20.9%
331,Mangalore,264,GEN,Mysore,K. K. Shetty,Indian National Congress,"5,03,353","3,25,762",64.7 %,"1,21,230",37.2%
332,Manjeri,152,GEN,Kerala,Muhammad Ismail Sahib,Muslim Leage,"5,60,669","2,56,834",45.8 %,"1,19,837",46.7%
333,Marmagao,512,GEN,"Goa, Daman And Diu",Sequeira Erasmo De Jesus Jack,United Goans - Seqveria Group,"2,26,313","1,20,226",53.1 %,"14,245",11.8%
334,Mathura,445,GEN,Uttar Pradesh [1947 - 1999],Chakleshwar Singh,Indian National Congress,"5,63,279","2,84,354",50.5 %,"21,439",7.5%
335,Mathurapur,471,SC,West Bengal,Madhurjya Haldar,Communist Party Of India (MARXIST),"5,77,659","4,31,325",74.7 %,"1,585",0.4%
336,Mavelikara,162,GEN,Kerala,R. Balakrishna Pillai,Kerala Congress,"5,14,087","3,81,567",74.2 %,"55,527",14.6%
337,Mayuram,362,SC,Tamil Nadu,K. Subravelu,Dravida Munetra Kazhagam,"5,03,830","3,99,879",79.4 %,"66,373",16.6%
338,Mayurbhanj,277,ST,Orissa,Manmohan Tudu,Indian National Congress,"4,91,440","1,84,295",37.5 %,"7,647",4.1%
339,Medak,33,GEN,Andhra Pradesh,Mallikarjun,Telangana Praja Samithi,"5,36,747","2,69,393",50.2 %,"53,431",19.8%
340,Meerut,451,GEN,Uttar Pradesh [1947 - 1999],Shah Nawaz Khan,Indian National Congress,"5,38,341","3,59,501",66.8 %,"81,799",22.8%
341,Mehsana,119,GEN,Gujarat,Natwarlal Amrutlal Patel,Indian National Congress (ORGANISATION),"5,41,900","3,32,863",61.4 %,"97,314",29.2%
342,Mettur,347,GEN,Tamil Nadu,G. Bhuvarahan,Indian National Congress,"5,93,427","3,51,437",59.2 %,"66,140",18.8%
343,Midnapore,486,GEN,West Bengal,Subodh Chandra Hansda,Indian National Congress,"5,29,679","3,64,697",68.9 %,"22,009",6.0%
344,Miryalguda,41,GEN,Andhra Pradesh,Bhimreddy Narsimha Reddy,Communist Party Of India (MARXIST),"5,32,803","3,38,486",63.5 %,"7,684",2.3%
345,Mirzapur,425,GEN,Uttar Pradesh [1947 - 1999],Aziz Imam,Indian National Congress,"5,55,429","2,89,774",52.2 %,"64,474",22.2%
346,Misrikh,388,SC,Uttar Pradesh [1947 - 1999],Sankata Prasad,Indian National Congress,"6,56,597","1,68,879",25.7 %,"47,579",28.2%
347,Mohanlalganj,391,SC,Uttar Pradesh [1947 - 1999],Ganga Devi,Indian National Congress,"5,12,747","1,71,734",33.5 %,"59,280",34.5%
348,Monghyr,84,GEN,Bihar [1947 - 1999],Deonandan Prasad Yadav,Indian National Congress,"5,92,073","3,86,652",65.3 %,"25,676",6.6%
349,Moradabad,378,GEN,Uttar Pradesh [1947 - 1999],Virendra Agarwal,Bhartiya Jan Sangh,"5,24,864","2,44,812",46.6 %,"21,428",8.8%
350,Morena,167,SC,Madhya Pradesh [1947 - 1999],Hukamchand Kachhway,Bhartiya Jan Sangh,"5,48,674","2,22,052",40.5 %,"26,097",11.8%
351,Motihari,57,GEN,Bihar [1947 - 1999],Bibhuti Mishra,Indian National Congress,"5,40,484","2,33,205",43.2 %,"1,29,906",55.7%
352,Mukundapuram,156,GEN,Kerala,A. C. George,Indian National Congress,"5,27,041","3,75,929",71.3 %,"72,610",19.3%
353,Murshidabad,464,GEN,West Bengal,Chowdhury Abu Taleb,Independent,"4,98,691","2,87,999",57.8 %,"20,382",7.1%
354,Muvattpuzha,158,GEN,Kerala,C. M. Stephen,Indian National Congress,"5,00,735","3,21,367",64.2 %,"38,137",11.9%
355,Muzaffarnagar,453,GEN,Uttar Pradesh [1947 - 1999],Vijay Pal Singh,Communist Party Of India,"5,38,144","3,82,202",71.0 %,"50,279",13.2%
356,Muzaffarpur,65,GEN,Bihar [1947 - 1999],Nawal Kishore Sinha,Indian National Congress,"6,08,535","4,08,728",67.2 %,"88,574",21.7%
357,Mysore,263,GEN,Mysore,M. D. Tulsidas,Indian National Congress,"5,03,687","2,97,698",59.1 %,"1,45,505",48.9%
358,Nabadwip,467,SC,West Bengal,Bibha Ghosh,Communist Party Of India (MARXIST),"5,76,005","3,91,659",68.0 %,"10,600",2.7%
359,Nagaland,276,GEN,Nagaland,A. Kevichusa,United Front Of Nagaland,"2,75,459","1,48,125",53.8 %,"31,003",20.9%
360,Nagapattinam,363,GEN,Tamil Nadu,M. Kathamuthu,Communist Party Of India,"5,17,251","4,16,846",80.6 %,"87,727",21.0%
361,Nagarkurnool,28,SC,Andhra Pradesh,M. Bheeshmadev,Telangana Praja Samithi,"5,22,004","2,74,515",52.6 %,"45,400",16.5%
362,Nagaur,332,GEN,Rajasthan,Nathoo Ram,Indian National Congress,"6,22,941","4,17,256",67.0 %,"1,00,895",24.2%
363,Nagercoil,371,GEN,Tamil Nadu,K. Kamaraj Nadar,Indian National Congress (ORGANISATION),"5,53,220","3,76,278",68.0 %,"1,00,553",26.7%
364,Nagpur,224,GEN,Maharashtra,Jambuwantrao Bapurao Bhote,Forward Bloc,"6,21,689","3,46,092",55.7 %,"2,056",0.6%
365,Nainital,375,GEN,Uttar Pradesh [1947 - 1999],Krishan Chandra Pant,Indian National Congress,"5,10,436","2,37,730",46.6 %,"99,997",42.1%
366,Nalanda,88,GEN,Bihar [1947 - 1999],Sedheshwar Prasad,Indian National Congress,"6,31,607","3,91,876",62.0 %,"1,29,700",33.1%
367,Nalgonda,40,GEN,Andhra Pradesh,Kancherla Ram Krishna Reddy,Telangana Praja Samithi,"5,44,193","3,23,022",59.4 %,"5,398",1.7%
368,Nanded,230,GEN,Maharashtra,Venkatrao Babarao Tarodekar,Indian National Congress,"5,90,182","3,50,298",59.4 %,"1,30,091",37.1%
369,Nandurbar,216,ST,Maharashtra,Tukaram Huraji Gavit,Indian National Congress,"5,01,575","2,52,935",50.4 %,"92,034",36.4%
370,Nandyal,27,GEN,Andhra Pradesh,Rendekanti Venkata Subbaiah,Indian National Congress,"5,89,874","3,48,303",59.1 %,"1,30,456",37.5%
